POI: 			Kristen_Bell 
Youtube ID: 	XrRyHHWa4ew 
Video length: 	491.8 sec 
Set (V): 		dev 
 
Kristen_Bell/XrRyHHWa4ew_0000001 03.7 28.8 
Kristen_Bell/XrRyHHWa4ew_0000002 42.8 51.5 
Kristen_Bell/XrRyHHWa4ew_0000003 52.2 73.0 
Kristen_Bell/XrRyHHWa4ew_0000004 84.6 93.6 
Kristen_Bell/XrRyHHWa4ew_0000005 109.3 114.3 
Kristen_Bell/XrRyHHWa4ew_0000006 115.5 129.9 
Kristen_Bell/XrRyHHWa4ew_0000007 140.6 171.4 
Kristen_Bell/XrRyHHWa4ew_0000008 188.1 194.9 
Kristen_Bell/XrRyHHWa4ew_0000009 195.5 212.5 
Kristen_Bell/XrRyHHWa4ew_0000010 214.5 227.5 
Kristen_Bell/XrRyHHWa4ew_0000011 228.1 234.3 
Kristen_Bell/XrRyHHWa4ew_0000012 236.2 242.2 
Kristen_Bell/XrRyHHWa4ew_0000013 255.4 263.5 
Kristen_Bell/XrRyHHWa4ew_0000014 264.7 287.0 
Kristen_Bell/XrRyHHWa4ew_0000015 301.6 322.4 
Kristen_Bell/XrRyHHWa4ew_0000016 331.6 346.2 
Kristen_Bell/XrRyHHWa4ew_0000017 347.6 356.5 
Kristen_Bell/XrRyHHWa4ew_0000018 358.1 366.6 
Kristen_Bell/XrRyHHWa4ew_0000019 366.7 376.2 
Kristen_Bell/XrRyHHWa4ew_0000020 384.7 393.4 
Kristen_Bell/XrRyHHWa4ew_0000021 394.5 408.3 
Kristen_Bell/XrRyHHWa4ew_0000022 410.2 431.0 
Kristen_Bell/XrRyHHWa4ew_0000023 431.2 436.0 
Kristen_Bell/XrRyHHWa4ew_0000024 444.1 449.4 
Kristen_Bell/XrRyHHWa4ew_0000025 450.0 471.5 
Kristen_Bell/XrRyHHWa4ew_0000026 472.2 477.7 
Kristen_Bell/XrRyHHWa4ew_0000027 483.5 489.1 
