POI: 			Kriti_Sanon 
Youtube ID: 	GvipAuNA_Xs 
Video length: 	992.7 sec 
Set (V): 		dev 
 
Kriti_Sanon/GvipAuNA_Xs_0000001 54.7 63.8 
Kriti_Sanon/GvipAuNA_Xs_0000002 107.2 112.6 
Kriti_Sanon/GvipAuNA_Xs_0000003 116.4 121.5 
Kriti_Sanon/GvipAuNA_Xs_0000004 124.9 134.4 
Kriti_Sanon/GvipAuNA_Xs_0000005 136.6 141.0 
Kriti_Sanon/GvipAuNA_Xs_0000006 159.0 165.8 
Kriti_Sanon/GvipAuNA_Xs_0000007 166.3 171.5 
Kriti_Sanon/GvipAuNA_Xs_0000008 174.2 185.0 
Kriti_Sanon/GvipAuNA_Xs_0000009 185.1 191.8 
Kriti_Sanon/GvipAuNA_Xs_0000010 194.2 206.3 
Kriti_Sanon/GvipAuNA_Xs_0000011 218.7 223.8 
Kriti_Sanon/GvipAuNA_Xs_0000012 235.1 241.3 
Kriti_Sanon/GvipAuNA_Xs_0000013 262.4 269.5 
Kriti_Sanon/GvipAuNA_Xs_0000014 274.0 284.0 
Kriti_Sanon/GvipAuNA_Xs_0000015 286.8 291.0 
Kriti_Sanon/GvipAuNA_Xs_0000016 297.0 305.0 
Kriti_Sanon/GvipAuNA_Xs_0000017 305.4 309.7 
Kriti_Sanon/GvipAuNA_Xs_0000018 312.1 318.1 
Kriti_Sanon/GvipAuNA_Xs_0000019 345.2 355.8 
Kriti_Sanon/GvipAuNA_Xs_0000020 358.1 365.7 
Kriti_Sanon/GvipAuNA_Xs_0000021 368.5 373.5 
Kriti_Sanon/GvipAuNA_Xs_0000022 375.7 381.0 
Kriti_Sanon/GvipAuNA_Xs_0000023 381.3 389.6 
Kriti_Sanon/GvipAuNA_Xs_0000024 391.6 403.7 
Kriti_Sanon/GvipAuNA_Xs_0000025 406.1 417.2 
Kriti_Sanon/GvipAuNA_Xs_0000026 425.3 434.1 
Kriti_Sanon/GvipAuNA_Xs_0000027 440.3 452.0 
Kriti_Sanon/GvipAuNA_Xs_0000028 461.1 465.8 
Kriti_Sanon/GvipAuNA_Xs_0000029 468.4 479.4 
Kriti_Sanon/GvipAuNA_Xs_0000030 481.4 491.9 
Kriti_Sanon/GvipAuNA_Xs_0000031 498.2 507.6 
Kriti_Sanon/GvipAuNA_Xs_0000032 509.7 514.9 
Kriti_Sanon/GvipAuNA_Xs_0000033 517.2 523.9 
Kriti_Sanon/GvipAuNA_Xs_0000034 534.3 541.3 
Kriti_Sanon/GvipAuNA_Xs_0000035 545.8 551.5 
Kriti_Sanon/GvipAuNA_Xs_0000036 553.5 563.0 
Kriti_Sanon/GvipAuNA_Xs_0000037 565.2 576.3 
Kriti_Sanon/GvipAuNA_Xs_0000038 584.4 594.6 
Kriti_Sanon/GvipAuNA_Xs_0000039 633.1 638.6 
Kriti_Sanon/GvipAuNA_Xs_0000040 640.7 645.5 
Kriti_Sanon/GvipAuNA_Xs_0000041 653.5 660.4 
Kriti_Sanon/GvipAuNA_Xs_0000042 667.3 673.0 
Kriti_Sanon/GvipAuNA_Xs_0000043 682.3 687.0 
Kriti_Sanon/GvipAuNA_Xs_0000044 692.9 698.2 
Kriti_Sanon/GvipAuNA_Xs_0000045 724.1 731.1 
Kriti_Sanon/GvipAuNA_Xs_0000046 733.5 746.4 
Kriti_Sanon/GvipAuNA_Xs_0000047 755.1 760.1 
Kriti_Sanon/GvipAuNA_Xs_0000048 762.4 769.0 
Kriti_Sanon/GvipAuNA_Xs_0000049 774.8 780.4 
Kriti_Sanon/GvipAuNA_Xs_0000050 782.6 790.9 
Kriti_Sanon/GvipAuNA_Xs_0000051 803.9 808.6 
Kriti_Sanon/GvipAuNA_Xs_0000052 825.0 831.7 
Kriti_Sanon/GvipAuNA_Xs_0000053 835.9 845.0 
Kriti_Sanon/GvipAuNA_Xs_0000054 847.0 853.3 
Kriti_Sanon/GvipAuNA_Xs_0000055 855.7 866.8 
Kriti_Sanon/GvipAuNA_Xs_0000056 872.5 880.8 
Kriti_Sanon/GvipAuNA_Xs_0000057 890.7 897.3 
Kriti_Sanon/GvipAuNA_Xs_0000058 904.3 908.9 
Kriti_Sanon/GvipAuNA_Xs_0000059 911.1 918.1 
Kriti_Sanon/GvipAuNA_Xs_0000060 920.2 929.8 
Kriti_Sanon/GvipAuNA_Xs_0000061 931.9 936.8 
Kriti_Sanon/GvipAuNA_Xs_0000062 938.8 950.6 
Kriti_Sanon/GvipAuNA_Xs_0000063 950.7 960.5 
Kriti_Sanon/GvipAuNA_Xs_0000064 962.7 973.6 
