POI: 			Kyle_MacLachlan 
Youtube ID: 	eaMUyQDsq8U 
Video length: 	1607.6 sec 
Set (V): 		dev 
 
Kyle_MacLachlan/eaMUyQDsq8U_0000001 92.2 96.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000002 97.1 102.2 
Kyle_MacLachlan/eaMUyQDsq8U_0000003 126.4 131.0 
Kyle_MacLachlan/eaMUyQDsq8U_0000004 156.4 168.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000005 172.5 181.0 
Kyle_MacLachlan/eaMUyQDsq8U_0000006 192.2 206.5 
Kyle_MacLachlan/eaMUyQDsq8U_0000007 207.7 214.0 
Kyle_MacLachlan/eaMUyQDsq8U_0000008 219.6 223.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000009 245.8 253.5 
Kyle_MacLachlan/eaMUyQDsq8U_0000010 281.5 287.3 
Kyle_MacLachlan/eaMUyQDsq8U_0000011 288.4 293.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000012 319.8 335.0 
Kyle_MacLachlan/eaMUyQDsq8U_0000013 338.8 354.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000014 378.2 383.1 
Kyle_MacLachlan/eaMUyQDsq8U_0000015 383.4 389.2 
Kyle_MacLachlan/eaMUyQDsq8U_0000016 389.4 394.8 
Kyle_MacLachlan/eaMUyQDsq8U_0000017 398.6 403.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000018 406.1 415.8 
Kyle_MacLachlan/eaMUyQDsq8U_0000019 419.8 426.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000020 435.4 441.1 
Kyle_MacLachlan/eaMUyQDsq8U_0000021 441.7 445.8 
Kyle_MacLachlan/eaMUyQDsq8U_0000022 462.0 469.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000023 476.0 480.3 
Kyle_MacLachlan/eaMUyQDsq8U_0000024 508.2 515.9 
Kyle_MacLachlan/eaMUyQDsq8U_0000025 516.0 524.8 
Kyle_MacLachlan/eaMUyQDsq8U_0000026 531.4 535.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000027 546.1 550.8 
Kyle_MacLachlan/eaMUyQDsq8U_0000028 564.9 571.5 
Kyle_MacLachlan/eaMUyQDsq8U_0000029 579.3 587.8 
Kyle_MacLachlan/eaMUyQDsq8U_0000030 592.8 607.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000031 620.1 626.7 
Kyle_MacLachlan/eaMUyQDsq8U_0000032 641.3 647.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000033 651.3 657.3 
Kyle_MacLachlan/eaMUyQDsq8U_0000034 661.6 670.0 
Kyle_MacLachlan/eaMUyQDsq8U_0000035 671.7 681.0 
Kyle_MacLachlan/eaMUyQDsq8U_0000036 681.2 688.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000037 696.8 704.1 
Kyle_MacLachlan/eaMUyQDsq8U_0000038 705.0 709.2 
Kyle_MacLachlan/eaMUyQDsq8U_0000039 715.0 721.3 
Kyle_MacLachlan/eaMUyQDsq8U_0000040 748.6 755.0 
Kyle_MacLachlan/eaMUyQDsq8U_0000041 766.8 772.3 
Kyle_MacLachlan/eaMUyQDsq8U_0000042 794.5 802.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000043 802.9 812.3 
Kyle_MacLachlan/eaMUyQDsq8U_0000044 819.1 827.2 
Kyle_MacLachlan/eaMUyQDsq8U_0000045 833.4 839.9 
Kyle_MacLachlan/eaMUyQDsq8U_0000046 858.3 862.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000047 863.6 872.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000048 891.1 905.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000049 927.5 931.7 
Kyle_MacLachlan/eaMUyQDsq8U_0000050 936.8 941.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000051 951.8 958.9 
Kyle_MacLachlan/eaMUyQDsq8U_0000052 966.2 972.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000053 973.9 981.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000054 989.8 994.3 
Kyle_MacLachlan/eaMUyQDsq8U_0000055 1010.3 1015.5 
Kyle_MacLachlan/eaMUyQDsq8U_0000056 1023.7 1030.0 
Kyle_MacLachlan/eaMUyQDsq8U_0000057 1038.2 1045.0 
Kyle_MacLachlan/eaMUyQDsq8U_0000058 1057.7 1062.7 
Kyle_MacLachlan/eaMUyQDsq8U_0000059 1054.4 1065.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000060 1065.8 1070.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000061 1083.5 1092.3 
Kyle_MacLachlan/eaMUyQDsq8U_0000062 1093.2 1097.9 
Kyle_MacLachlan/eaMUyQDsq8U_0000063 1126.4 1134.7 
Kyle_MacLachlan/eaMUyQDsq8U_0000064 1137.6 1142.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000065 1169.9 1179.7 
Kyle_MacLachlan/eaMUyQDsq8U_0000066 1184.6 1191.9 
Kyle_MacLachlan/eaMUyQDsq8U_0000067 1204.2 1214.3 
Kyle_MacLachlan/eaMUyQDsq8U_0000068 1242.4 1248.2 
Kyle_MacLachlan/eaMUyQDsq8U_0000069 1288.5 1292.9 
Kyle_MacLachlan/eaMUyQDsq8U_0000070 1297.6 1301.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000071 1305.4 1313.3 
Kyle_MacLachlan/eaMUyQDsq8U_0000072 1317.3 1321.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000073 1328.7 1342.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000074 1350.6 1359.5 
Kyle_MacLachlan/eaMUyQDsq8U_0000075 1361.6 1382.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000076 1404.2 1408.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000077 1409.7 1421.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000078 1437.0 1445.9 
Kyle_MacLachlan/eaMUyQDsq8U_0000079 1449.4 1454.2 
Kyle_MacLachlan/eaMUyQDsq8U_0000080 1454.4 1459.3 
Kyle_MacLachlan/eaMUyQDsq8U_0000081 1468.1 1478.4 
Kyle_MacLachlan/eaMUyQDsq8U_0000082 1481.7 1486.8 
Kyle_MacLachlan/eaMUyQDsq8U_0000083 1509.6 1515.2 
Kyle_MacLachlan/eaMUyQDsq8U_0000084 1533.0 1539.6 
Kyle_MacLachlan/eaMUyQDsq8U_0000085 1543.2 1550.2 
