POI: 			Lesley_Manville 
Youtube ID: 	A4LOMg_trGI 
Video length: 	2084.5 sec 
Set (V): 		dev 
 
Lesley_Manville/A4LOMg_trGI_0000001 148.5 161.1 
Lesley_Manville/A4LOMg_trGI_0000002 221.5 228.9 
Lesley_Manville/A4LOMg_trGI_0000003 229.0 254.8 
Lesley_Manville/A4LOMg_trGI_0000004 255.3 267.5 
Lesley_Manville/A4LOMg_trGI_0000005 325.4 341.2 
Lesley_Manville/A4LOMg_trGI_0000006 362.0 367.8 
Lesley_Manville/A4LOMg_trGI_0000007 370.6 376.7 
Lesley_Manville/A4LOMg_trGI_0000008 388.7 393.4 
Lesley_Manville/A4LOMg_trGI_0000009 398.2 407.5 
Lesley_Manville/A4LOMg_trGI_0000010 370.6 377.4 
Lesley_Manville/A4LOMg_trGI_0000011 383.8 393.4 
Lesley_Manville/A4LOMg_trGI_0000012 411.7 417.0 
Lesley_Manville/A4LOMg_trGI_0000013 438.0 447.0 
Lesley_Manville/A4LOMg_trGI_0000014 423.0 428.4 
Lesley_Manville/A4LOMg_trGI_0000015 429.2 437.2 
Lesley_Manville/A4LOMg_trGI_0000016 438.0 460.2 
Lesley_Manville/A4LOMg_trGI_0000017 599.7 604.9 
Lesley_Manville/A4LOMg_trGI_0000018 681.6 687.0 
Lesley_Manville/A4LOMg_trGI_0000019 900.3 907.1 
Lesley_Manville/A4LOMg_trGI_0000020 996.5 1009.4 
Lesley_Manville/A4LOMg_trGI_0000021 1011.3 1017.4 
Lesley_Manville/A4LOMg_trGI_0000022 1035.8 1042.5 
Lesley_Manville/A4LOMg_trGI_0000023 1054.1 1059.5 
Lesley_Manville/A4LOMg_trGI_0000024 1066.2 1072.6 
Lesley_Manville/A4LOMg_trGI_0000025 1073.5 1078.3 
Lesley_Manville/A4LOMg_trGI_0000026 1081.6 1086.0 
Lesley_Manville/A4LOMg_trGI_0000027 1108.5 1120.4 
Lesley_Manville/A4LOMg_trGI_0000028 1133.2 1143.2 
Lesley_Manville/A4LOMg_trGI_0000029 1227.1 1238.9 
Lesley_Manville/A4LOMg_trGI_0000030 1252.8 1257.3 
Lesley_Manville/A4LOMg_trGI_0000031 1341.6 1347.6 
Lesley_Manville/A4LOMg_trGI_0000032 1449.5 1454.6 
Lesley_Manville/A4LOMg_trGI_0000033 1461.7 1468.4 
Lesley_Manville/A4LOMg_trGI_0000034 1547.0 1552.6 
Lesley_Manville/A4LOMg_trGI_0000035 1555.7 1560.6 
Lesley_Manville/A4LOMg_trGI_0000036 1575.3 1587.1 
Lesley_Manville/A4LOMg_trGI_0000037 1603.9 1610.8 
Lesley_Manville/A4LOMg_trGI_0000038 1611.3 1620.8 
Lesley_Manville/A4LOMg_trGI_0000039 1621.4 1628.5 
Lesley_Manville/A4LOMg_trGI_0000040 1709.8 1717.3 
Lesley_Manville/A4LOMg_trGI_0000041 1718.8 1723.8 
Lesley_Manville/A4LOMg_trGI_0000042 1793.4 1800.6 
Lesley_Manville/A4LOMg_trGI_0000043 1801.3 1807.8 
Lesley_Manville/A4LOMg_trGI_0000044 1854.6 1861.4 
Lesley_Manville/A4LOMg_trGI_0000045 1863.4 1870.3 
Lesley_Manville/A4LOMg_trGI_0000046 1870.5 1882.5 
Lesley_Manville/A4LOMg_trGI_0000047 1883.0 1890.2 
Lesley_Manville/A4LOMg_trGI_0000048 1982.0 1987.0 
Lesley_Manville/A4LOMg_trGI_0000049 1992.0 1997.5 
Lesley_Manville/A4LOMg_trGI_0000050 1999.1 2007.8 
