POI: 			Mariel_Hemingway 
Youtube ID: 	CtJgyIilJAQ 
Video length: 	2255.8 sec 
Set (V): 		dev 
 
Mariel_Hemingway/CtJgyIilJAQ_0000001 42.2 52.1 
Mariel_Hemingway/CtJgyIilJAQ_0000002 82.6 87.1 
Mariel_Hemingway/CtJgyIilJAQ_0000003 98.7 105.8 
Mariel_Hemingway/CtJgyIilJAQ_0000004 110.0 115.2 
Mariel_Hemingway/CtJgyIilJAQ_0000005 118.3 124.8 
Mariel_Hemingway/CtJgyIilJAQ_0000006 135.1 141.2 
Mariel_Hemingway/CtJgyIilJAQ_0000007 183.0 188.6 
Mariel_Hemingway/CtJgyIilJAQ_0000008 189.2 196.2 
Mariel_Hemingway/CtJgyIilJAQ_0000009 241.9 249.1 
Mariel_Hemingway/CtJgyIilJAQ_0000010 249.8 254.9 
Mariel_Hemingway/CtJgyIilJAQ_0000011 279.0 288.4 
Mariel_Hemingway/CtJgyIilJAQ_0000012 289.2 302.6 
Mariel_Hemingway/CtJgyIilJAQ_0000013 303.0 307.2 
Mariel_Hemingway/CtJgyIilJAQ_0000014 333.4 339.8 
Mariel_Hemingway/CtJgyIilJAQ_0000015 346.8 358.6 
Mariel_Hemingway/CtJgyIilJAQ_0000016 400.0 406.7 
Mariel_Hemingway/CtJgyIilJAQ_0000017 424.6 429.8 
Mariel_Hemingway/CtJgyIilJAQ_0000018 442.7 447.1 
Mariel_Hemingway/CtJgyIilJAQ_0000019 455.4 459.5 
Mariel_Hemingway/CtJgyIilJAQ_0000020 464.2 471.3 
Mariel_Hemingway/CtJgyIilJAQ_0000021 514.2 519.7 
Mariel_Hemingway/CtJgyIilJAQ_0000022 559.6 566.8 
Mariel_Hemingway/CtJgyIilJAQ_0000023 637.6 651.2 
Mariel_Hemingway/CtJgyIilJAQ_0000024 651.5 657.6 
Mariel_Hemingway/CtJgyIilJAQ_0000025 699.4 705.5 
Mariel_Hemingway/CtJgyIilJAQ_0000026 707.3 711.3 
Mariel_Hemingway/CtJgyIilJAQ_0000027 764.2 769.7 
Mariel_Hemingway/CtJgyIilJAQ_0000028 789.8 793.7 
Mariel_Hemingway/CtJgyIilJAQ_0000029 795.3 803.1 
Mariel_Hemingway/CtJgyIilJAQ_0000030 807.6 811.8 
Mariel_Hemingway/CtJgyIilJAQ_0000031 814.9 822.3 
Mariel_Hemingway/CtJgyIilJAQ_0000032 825.5 832.3 
Mariel_Hemingway/CtJgyIilJAQ_0000033 843.3 847.3 
Mariel_Hemingway/CtJgyIilJAQ_0000034 860.0 864.0 
Mariel_Hemingway/CtJgyIilJAQ_0000035 883.9 890.4 
Mariel_Hemingway/CtJgyIilJAQ_0000036 894.2 900.4 
Mariel_Hemingway/CtJgyIilJAQ_0000037 901.9 909.3 
Mariel_Hemingway/CtJgyIilJAQ_0000038 930.2 943.4 
Mariel_Hemingway/CtJgyIilJAQ_0000039 943.8 947.9 
Mariel_Hemingway/CtJgyIilJAQ_0000040 991.2 996.1 
Mariel_Hemingway/CtJgyIilJAQ_0000041 1007.2 1011.8 
Mariel_Hemingway/CtJgyIilJAQ_0000042 1013.6 1020.9 
Mariel_Hemingway/CtJgyIilJAQ_0000043 1082.0 1086.3 
Mariel_Hemingway/CtJgyIilJAQ_0000044 1087.4 1096.4 
Mariel_Hemingway/CtJgyIilJAQ_0000045 1097.5 1107.2 
Mariel_Hemingway/CtJgyIilJAQ_0000046 1108.6 1113.6 
Mariel_Hemingway/CtJgyIilJAQ_0000047 1124.8 1131.4 
Mariel_Hemingway/CtJgyIilJAQ_0000048 1133.6 1138.3 
Mariel_Hemingway/CtJgyIilJAQ_0000049 1144.8 1161.3 
Mariel_Hemingway/CtJgyIilJAQ_0000050 1190.3 1198.7 
Mariel_Hemingway/CtJgyIilJAQ_0000051 1309.0 1315.2 
Mariel_Hemingway/CtJgyIilJAQ_0000052 1316.5 1321.4 
Mariel_Hemingway/CtJgyIilJAQ_0000053 1308.5 1321.6 
Mariel_Hemingway/CtJgyIilJAQ_0000054 1323.4 1327.6 
Mariel_Hemingway/CtJgyIilJAQ_0000055 1378.4 1382.8 
Mariel_Hemingway/CtJgyIilJAQ_0000056 1450.9 1455.1 
Mariel_Hemingway/CtJgyIilJAQ_0000057 1455.9 1461.9 
Mariel_Hemingway/CtJgyIilJAQ_0000058 1500.2 1512.9 
Mariel_Hemingway/CtJgyIilJAQ_0000059 1711.1 1715.5 
Mariel_Hemingway/CtJgyIilJAQ_0000060 1806.3 1810.9 
Mariel_Hemingway/CtJgyIilJAQ_0000061 1817.1 1822.5 
Mariel_Hemingway/CtJgyIilJAQ_0000062 1839.0 1843.5 
Mariel_Hemingway/CtJgyIilJAQ_0000063 1849.5 1853.9 
Mariel_Hemingway/CtJgyIilJAQ_0000064 1861.1 1869.7 
Mariel_Hemingway/CtJgyIilJAQ_0000065 1873.5 1890.0 
Mariel_Hemingway/CtJgyIilJAQ_0000066 1898.0 1903.2 
Mariel_Hemingway/CtJgyIilJAQ_0000067 1924.5 1932.0 
Mariel_Hemingway/CtJgyIilJAQ_0000068 1947.5 1958.0 
Mariel_Hemingway/CtJgyIilJAQ_0000069 1969.9 1980.0 
Mariel_Hemingway/CtJgyIilJAQ_0000070 2002.0 2014.8 
