POI: 			Marilu_Henner 
Youtube ID: 	e0n7Nt6BwRI 
Video length: 	571.7 sec 
Set (V): 		dev 
 
Marilu_Henner/e0n7Nt6BwRI_0000001 06.6 34.8 
Marilu_Henner/e0n7Nt6BwRI_0000002 32.3 38.2 
Marilu_Henner/e0n7Nt6BwRI_0000003 41.9 58.7 
Marilu_Henner/e0n7Nt6BwRI_0000004 59.1 68.8 
Marilu_Henner/e0n7Nt6BwRI_0000005 78.5 89.2 
Marilu_Henner/e0n7Nt6BwRI_0000006 90.4 111.5 
Marilu_Henner/e0n7Nt6BwRI_0000007 115.5 142.6 
Marilu_Henner/e0n7Nt6BwRI_0000008 145.8 162.3 
Marilu_Henner/e0n7Nt6BwRI_0000009 164.1 178.2 
Marilu_Henner/e0n7Nt6BwRI_0000010 183.3 201.2 
Marilu_Henner/e0n7Nt6BwRI_0000011 218.9 231.9 
Marilu_Henner/e0n7Nt6BwRI_0000012 235.6 249.4 
Marilu_Henner/e0n7Nt6BwRI_0000013 252.8 283.5 
Marilu_Henner/e0n7Nt6BwRI_0000014 285.6 307.2 
Marilu_Henner/e0n7Nt6BwRI_0000015 312.4 318.9 
Marilu_Henner/e0n7Nt6BwRI_0000016 328.4 341.3 
Marilu_Henner/e0n7Nt6BwRI_0000017 341.9 349.0 
Marilu_Henner/e0n7Nt6BwRI_0000018 350.8 358.9 
Marilu_Henner/e0n7Nt6BwRI_0000019 361.4 365.7 
Marilu_Henner/e0n7Nt6BwRI_0000020 369.7 378.8 
Marilu_Henner/e0n7Nt6BwRI_0000021 379.1 398.0 
Marilu_Henner/e0n7Nt6BwRI_0000022 405.2 426.8 
Marilu_Henner/e0n7Nt6BwRI_0000023 419.6 426.7 
Marilu_Henner/e0n7Nt6BwRI_0000024 427.1 441.9 
Marilu_Henner/e0n7Nt6BwRI_0000025 442.5 453.5 
Marilu_Henner/e0n7Nt6BwRI_0000026 454.1 458.5 
Marilu_Henner/e0n7Nt6BwRI_0000027 449.2 453.9 
Marilu_Henner/e0n7Nt6BwRI_0000028 466.3 473.0 
Marilu_Henner/e0n7Nt6BwRI_0000029 474.7 487.8 
Marilu_Henner/e0n7Nt6BwRI_0000030 489.7 494.7 
Marilu_Henner/e0n7Nt6BwRI_0000031 498.4 515.2 
Marilu_Henner/e0n7Nt6BwRI_0000032 515.3 548.4 
Marilu_Henner/e0n7Nt6BwRI_0000033 551.8 557.7 
