POI: 			Matthew_Lillard 
Youtube ID: 	PjNXMFI7ePg 
Video length: 	483.7 sec 
Set (V): 		dev 
 
Matthew_Lillard/PjNXMFI7ePg_0000001 13.2 18.3 
Matthew_Lillard/PjNXMFI7ePg_0000002 19.4 29.8 
Matthew_Lillard/PjNXMFI7ePg_0000003 34.8 40.2 
Matthew_Lillard/PjNXMFI7ePg_0000004 53.5 59.7 
Matthew_Lillard/PjNXMFI7ePg_0000005 67.1 74.5 
Matthew_Lillard/PjNXMFI7ePg_0000006 86.0 102.5 
Matthew_Lillard/PjNXMFI7ePg_0000007 111.2 118.0 
Matthew_Lillard/PjNXMFI7ePg_0000008 122.2 127.9 
Matthew_Lillard/PjNXMFI7ePg_0000009 136.2 142.0 
Matthew_Lillard/PjNXMFI7ePg_0000010 152.6 156.6 
Matthew_Lillard/PjNXMFI7ePg_0000011 163.5 173.6 
Matthew_Lillard/PjNXMFI7ePg_0000012 175.1 185.2 
Matthew_Lillard/PjNXMFI7ePg_0000013 185.9 191.9 
Matthew_Lillard/PjNXMFI7ePg_0000014 219.3 225.7 
Matthew_Lillard/PjNXMFI7ePg_0000015 252.7 266.0 
Matthew_Lillard/PjNXMFI7ePg_0000016 270.2 274.6 
Matthew_Lillard/PjNXMFI7ePg_0000017 297.3 301.7 
Matthew_Lillard/PjNXMFI7ePg_0000018 320.6 325.6 
Matthew_Lillard/PjNXMFI7ePg_0000019 326.1 333.5 
Matthew_Lillard/PjNXMFI7ePg_0000020 340.0 347.1 
Matthew_Lillard/PjNXMFI7ePg_0000021 353.4 359.6 
Matthew_Lillard/PjNXMFI7ePg_0000022 367.7 391.1 
Matthew_Lillard/PjNXMFI7ePg_0000023 397.1 403.0 
Matthew_Lillard/PjNXMFI7ePg_0000024 423.5 436.8 
Matthew_Lillard/PjNXMFI7ePg_0000025 439.3 444.5 
