POI: 			Max_Schneider 
Youtube ID: 	5wjs7zYczO0 
Video length: 	911.0 sec 
Set (V): 		dev 
 
Max_Schneider/5wjs7zYczO0_0000001 20.9 25.8 
Max_Schneider/5wjs7zYczO0_0000002 39.4 43.6 
Max_Schneider/5wjs7zYczO0_0000003 61.2 72.0 
Max_Schneider/5wjs7zYczO0_0000004 73.9 78.4 
Max_Schneider/5wjs7zYczO0_0000005 102.9 107.4 
Max_Schneider/5wjs7zYczO0_0000006 110.8 119.8 
Max_Schneider/5wjs7zYczO0_0000007 126.6 131.8 
Max_Schneider/5wjs7zYczO0_0000008 137.8 161.3 
Max_Schneider/5wjs7zYczO0_0000009 161.5 170.2 
Max_Schneider/5wjs7zYczO0_0000010 173.1 181.7 
Max_Schneider/5wjs7zYczO0_0000011 184.2 194.1 
Max_Schneider/5wjs7zYczO0_0000012 196.2 202.5 
Max_Schneider/5wjs7zYczO0_0000013 256.0 265.8 
Max_Schneider/5wjs7zYczO0_0000014 268.4 274.2 
Max_Schneider/5wjs7zYczO0_0000015 295.3 300.4 
Max_Schneider/5wjs7zYczO0_0000016 303.2 309.7 
Max_Schneider/5wjs7zYczO0_0000017 369.2 380.1 
Max_Schneider/5wjs7zYczO0_0000018 382.5 386.8 
Max_Schneider/5wjs7zYczO0_0000019 396.2 401.5 
Max_Schneider/5wjs7zYczO0_0000020 416.1 420.5 
Max_Schneider/5wjs7zYczO0_0000021 434.7 440.7 
Max_Schneider/5wjs7zYczO0_0000022 444.5 453.6 
Max_Schneider/5wjs7zYczO0_0000023 470.8 489.6 
Max_Schneider/5wjs7zYczO0_0000024 497.2 523.6 
Max_Schneider/5wjs7zYczO0_0000025 538.9 552.0 
Max_Schneider/5wjs7zYczO0_0000026 553.3 561.4 
Max_Schneider/5wjs7zYczO0_0000027 561.8 572.1 
Max_Schneider/5wjs7zYczO0_0000028 588.3 598.9 
Max_Schneider/5wjs7zYczO0_0000029 599.1 606.0 
Max_Schneider/5wjs7zYczO0_0000030 631.4 638.8 
Max_Schneider/5wjs7zYczO0_0000031 642.2 646.1 
Max_Schneider/5wjs7zYczO0_0000032 648.2 656.8 
Max_Schneider/5wjs7zYczO0_0000033 666.0 674.9 
Max_Schneider/5wjs7zYczO0_0000034 678.4 683.6 
Max_Schneider/5wjs7zYczO0_0000035 694.2 709.6 
Max_Schneider/5wjs7zYczO0_0000036 714.8 721.1 
Max_Schneider/5wjs7zYczO0_0000037 723.4 730.9 
Max_Schneider/5wjs7zYczO0_0000038 731.9 743.1 
Max_Schneider/5wjs7zYczO0_0000039 743.2 754.8 
Max_Schneider/5wjs7zYczO0_0000040 756.0 763.7 
