POI: 			Michael_Cudlitz 
Youtube ID: 	oHUUn6Ui8Is 
Video length: 	1072.3 sec 
Set (V): 		dev 
 
Michael_Cudlitz/oHUUn6Ui8Is_0000001 53.5 63.4 
Michael_Cudlitz/oHUUn6Ui8Is_0000002 64.8 70.0 
Michael_Cudlitz/oHUUn6Ui8Is_0000003 76.4 81.0 
Michael_Cudlitz/oHUUn6Ui8Is_0000004 81.8 86.8 
Michael_Cudlitz/oHUUn6Ui8Is_0000005 87.6 92.5 
Michael_Cudlitz/oHUUn6Ui8Is_0000006 95.6 106.3 
Michael_Cudlitz/oHUUn6Ui8Is_0000007 108.5 117.2 
Michael_Cudlitz/oHUUn6Ui8Is_0000008 158.6 176.3 
Michael_Cudlitz/oHUUn6Ui8Is_0000009 177.4 183.8 
Michael_Cudlitz/oHUUn6Ui8Is_0000010 187.9 197.2 
Michael_Cudlitz/oHUUn6Ui8Is_0000011 192.9 197.1 
Michael_Cudlitz/oHUUn6Ui8Is_0000012 201.0 207.5 
Michael_Cudlitz/oHUUn6Ui8Is_0000013 216.4 224.0 
Michael_Cudlitz/oHUUn6Ui8Is_0000014 225.8 232.2 
Michael_Cudlitz/oHUUn6Ui8Is_0000015 232.7 243.0 
Michael_Cudlitz/oHUUn6Ui8Is_0000016 275.4 282.1 
Michael_Cudlitz/oHUUn6Ui8Is_0000017 284.1 297.1 
Michael_Cudlitz/oHUUn6Ui8Is_0000018 306.2 311.3 
Michael_Cudlitz/oHUUn6Ui8Is_0000019 314.7 320.8 
Michael_Cudlitz/oHUUn6Ui8Is_0000020 326.8 332.7 
Michael_Cudlitz/oHUUn6Ui8Is_0000021 375.7 380.5 
Michael_Cudlitz/oHUUn6Ui8Is_0000022 350.5 354.6 
Michael_Cudlitz/oHUUn6Ui8Is_0000023 391.0 401.9 
Michael_Cudlitz/oHUUn6Ui8Is_0000024 414.9 421.1 
Michael_Cudlitz/oHUUn6Ui8Is_0000025 436.0 441.3 
Michael_Cudlitz/oHUUn6Ui8Is_0000026 491.9 505.1 
Michael_Cudlitz/oHUUn6Ui8Is_0000027 506.9 534.7 
Michael_Cudlitz/oHUUn6Ui8Is_0000028 535.5 544.2 
Michael_Cudlitz/oHUUn6Ui8Is_0000029 546.9 552.2 
Michael_Cudlitz/oHUUn6Ui8Is_0000030 553.5 558.7 
Michael_Cudlitz/oHUUn6Ui8Is_0000031 559.4 565.7 
Michael_Cudlitz/oHUUn6Ui8Is_0000032 604.9 609.4 
Michael_Cudlitz/oHUUn6Ui8Is_0000033 609.7 617.1 
Michael_Cudlitz/oHUUn6Ui8Is_0000034 807.8 816.8 
Michael_Cudlitz/oHUUn6Ui8Is_0000035 817.7 822.3 
Michael_Cudlitz/oHUUn6Ui8Is_0000036 823.8 828.0 
Michael_Cudlitz/oHUUn6Ui8Is_0000037 852.4 857.6 
Michael_Cudlitz/oHUUn6Ui8Is_0000038 861.5 865.9 
Michael_Cudlitz/oHUUn6Ui8Is_0000039 871.6 877.0 
Michael_Cudlitz/oHUUn6Ui8Is_0000040 884.9 890.3 
Michael_Cudlitz/oHUUn6Ui8Is_0000041 891.2 895.8 
Michael_Cudlitz/oHUUn6Ui8Is_0000042 899.0 906.3 
Michael_Cudlitz/oHUUn6Ui8Is_0000043 909.3 920.0 
Michael_Cudlitz/oHUUn6Ui8Is_0000044 924.0 929.1 
Michael_Cudlitz/oHUUn6Ui8Is_0000045 934.2 942.7 
Michael_Cudlitz/oHUUn6Ui8Is_0000046 945.9 950.0 
Michael_Cudlitz/oHUUn6Ui8Is_0000047 992.2 1018.6 
