POI: 			Miley_Cyrus 
Youtube ID: 	oVJhNZO_M9Q 
Video length: 	999.6 sec 
Set (V): 		dev 
 
Miley_Cyrus/oVJhNZO_M9Q_0000001 19.0 28.8 
Miley_Cyrus/oVJhNZO_M9Q_0000002 32.6 56.0 
Miley_Cyrus/oVJhNZO_M9Q_0000003 90.1 95.8 
Miley_Cyrus/oVJhNZO_M9Q_0000004 104.8 114.2 
Miley_Cyrus/oVJhNZO_M9Q_0000005 118.3 131.8 
Miley_Cyrus/oVJhNZO_M9Q_0000006 144.6 152.1 
Miley_Cyrus/oVJhNZO_M9Q_0000007 156.1 168.2 
Miley_Cyrus/oVJhNZO_M9Q_0000008 171.8 180.9 
Miley_Cyrus/oVJhNZO_M9Q_0000009 187.5 192.6 
Miley_Cyrus/oVJhNZO_M9Q_0000010 200.4 205.9 
Miley_Cyrus/oVJhNZO_M9Q_0000011 209.6 225.1 
Miley_Cyrus/oVJhNZO_M9Q_0000012 230.4 234.6 
Miley_Cyrus/oVJhNZO_M9Q_0000013 236.0 255.1 
Miley_Cyrus/oVJhNZO_M9Q_0000014 260.3 294.7 
Miley_Cyrus/oVJhNZO_M9Q_0000015 301.7 307.0 
Miley_Cyrus/oVJhNZO_M9Q_0000016 308.2 343.9 
Miley_Cyrus/oVJhNZO_M9Q_0000017 349.6 388.7 
Miley_Cyrus/oVJhNZO_M9Q_0000018 395.5 412.6 
Miley_Cyrus/oVJhNZO_M9Q_0000019 418.1 427.5 
Miley_Cyrus/oVJhNZO_M9Q_0000020 427.6 435.9 
Miley_Cyrus/oVJhNZO_M9Q_0000021 447.8 464.2 
Miley_Cyrus/oVJhNZO_M9Q_0000022 480.9 488.9 
Miley_Cyrus/oVJhNZO_M9Q_0000023 492.6 504.3 
Miley_Cyrus/oVJhNZO_M9Q_0000024 516.0 537.9 
Miley_Cyrus/oVJhNZO_M9Q_0000025 543.6 554.7 
Miley_Cyrus/oVJhNZO_M9Q_0000026 590.0 603.2 
Miley_Cyrus/oVJhNZO_M9Q_0000027 603.7 609.8 
Miley_Cyrus/oVJhNZO_M9Q_0000028 621.0 625.3 
Miley_Cyrus/oVJhNZO_M9Q_0000029 627.2 632.9 
Miley_Cyrus/oVJhNZO_M9Q_0000030 647.2 651.9 
Miley_Cyrus/oVJhNZO_M9Q_0000031 661.8 677.2 
Miley_Cyrus/oVJhNZO_M9Q_0000032 678.2 684.7 
Miley_Cyrus/oVJhNZO_M9Q_0000033 689.0 695.4 
Miley_Cyrus/oVJhNZO_M9Q_0000034 696.3 717.8 
Miley_Cyrus/oVJhNZO_M9Q_0000035 728.1 755.8 
Miley_Cyrus/oVJhNZO_M9Q_0000036 768.8 787.0 
Miley_Cyrus/oVJhNZO_M9Q_0000037 807.8 814.5 
Miley_Cyrus/oVJhNZO_M9Q_0000038 820.9 837.6 
Miley_Cyrus/oVJhNZO_M9Q_0000039 852.2 858.7 
Miley_Cyrus/oVJhNZO_M9Q_0000040 872.6 881.0 
Miley_Cyrus/oVJhNZO_M9Q_0000041 900.9 906.3 
Miley_Cyrus/oVJhNZO_M9Q_0000042 923.2 927.2 
Miley_Cyrus/oVJhNZO_M9Q_0000043 939.8 951.2 
Miley_Cyrus/oVJhNZO_M9Q_0000044 970.1 979.3 
Miley_Cyrus/oVJhNZO_M9Q_0000045 982.0 992.5 
