POI: 			MyAnna_Buring 
Youtube ID: 	_gbdytw5r1g 
Video length: 	593.3 sec 
Set (V): 		dev 
 
MyAnna_Buring/_gbdytw5r1g_0000001 06.3 12.0 
MyAnna_Buring/_gbdytw5r1g_0000002 16.2 21.8 
MyAnna_Buring/_gbdytw5r1g_0000003 32.2 39.4 
MyAnna_Buring/_gbdytw5r1g_0000004 45.8 55.2 
MyAnna_Buring/_gbdytw5r1g_0000005 70.9 106.7 
MyAnna_Buring/_gbdytw5r1g_0000006 114.8 120.1 
MyAnna_Buring/_gbdytw5r1g_0000007 125.7 130.4 
MyAnna_Buring/_gbdytw5r1g_0000008 131.2 142.6 
MyAnna_Buring/_gbdytw5r1g_0000009 152.5 169.6 
MyAnna_Buring/_gbdytw5r1g_0000010 173.2 187.2 
MyAnna_Buring/_gbdytw5r1g_0000011 201.5 211.8 
MyAnna_Buring/_gbdytw5r1g_0000012 215.1 237.2 
MyAnna_Buring/_gbdytw5r1g_0000013 242.8 247.0 
MyAnna_Buring/_gbdytw5r1g_0000014 249.4 253.8 
MyAnna_Buring/_gbdytw5r1g_0000015 267.2 279.0 
MyAnna_Buring/_gbdytw5r1g_0000016 303.6 329.6 
MyAnna_Buring/_gbdytw5r1g_0000017 332.8 337.9 
MyAnna_Buring/_gbdytw5r1g_0000018 354.4 377.4 
MyAnna_Buring/_gbdytw5r1g_0000019 382.7 397.0 
MyAnna_Buring/_gbdytw5r1g_0000020 397.8 413.4 
MyAnna_Buring/_gbdytw5r1g_0000021 419.1 423.3 
MyAnna_Buring/_gbdytw5r1g_0000022 436.1 442.2 
MyAnna_Buring/_gbdytw5r1g_0000023 443.8 450.2 
MyAnna_Buring/_gbdytw5r1g_0000024 450.6 465.1 
MyAnna_Buring/_gbdytw5r1g_0000025 465.2 493.3 
MyAnna_Buring/_gbdytw5r1g_0000026 414.5 423.3 
MyAnna_Buring/_gbdytw5r1g_0000027 514.4 531.1 
MyAnna_Buring/_gbdytw5r1g_0000028 534.0 539.0 
MyAnna_Buring/_gbdytw5r1g_0000029 539.6 543.6 
MyAnna_Buring/_gbdytw5r1g_0000030 548.6 564.0 
MyAnna_Buring/_gbdytw5r1g_0000031 573.6 586.3 
