POI: 			Naseeruddin_Shah 
Youtube ID: 	jZLH__45hVM 
Video length: 	600.2 sec 
Set (V): 		dev 
 
Naseeruddin_Shah/jZLH__45hVM_0000001 52.8 56.9 
Naseeruddin_Shah/jZLH__45hVM_0000002 144.1 155.8 
Naseeruddin_Shah/jZLH__45hVM_0000003 171.9 180.6 
Naseeruddin_Shah/jZLH__45hVM_0000004 204.4 209.7 
Naseeruddin_Shah/jZLH__45hVM_0000005 231.6 235.9 
Naseeruddin_Shah/jZLH__45hVM_0000006 308.0 312.3 
Naseeruddin_Shah/jZLH__45hVM_0000007 343.8 351.4 
Naseeruddin_Shah/jZLH__45hVM_0000008 427.2 431.6 
Naseeruddin_Shah/jZLH__45hVM_0000009 438.5 445.4 
Naseeruddin_Shah/jZLH__45hVM_0000010 484.2 488.7 
Naseeruddin_Shah/jZLH__45hVM_0000011 492.9 497.7 
Naseeruddin_Shah/jZLH__45hVM_0000012 504.6 509.8 
Naseeruddin_Shah/jZLH__45hVM_0000013 512.2 517.0 
Naseeruddin_Shah/jZLH__45hVM_0000014 533.8 538.2 
Naseeruddin_Shah/jZLH__45hVM_0000015 546.4 550.8 
Naseeruddin_Shah/jZLH__45hVM_0000016 566.2 572.8 
Naseeruddin_Shah/jZLH__45hVM_0000017 593.9 598.4 
