POI: 			Nelly_Furtado 
Youtube ID: 	MZYGATXMOxU 
Video length: 	1090.8 sec 
Set (V): 		dev 
 
Nelly_Furtado/MZYGATXMOxU_0000001 18.4 23.6 
Nelly_Furtado/MZYGATXMOxU_0000002 74.8 88.0 
Nelly_Furtado/MZYGATXMOxU_0000003 91.4 104.8 
Nelly_Furtado/MZYGATXMOxU_0000004 114.1 118.8 
Nelly_Furtado/MZYGATXMOxU_0000005 122.0 128.6 
Nelly_Furtado/MZYGATXMOxU_0000006 129.8 135.3 
Nelly_Furtado/MZYGATXMOxU_0000007 142.5 150.3 
Nelly_Furtado/MZYGATXMOxU_0000008 155.9 166.6 
Nelly_Furtado/MZYGATXMOxU_0000009 166.8 173.0 
Nelly_Furtado/MZYGATXMOxU_0000010 187.2 195.8 
Nelly_Furtado/MZYGATXMOxU_0000011 201.2 206.4 
Nelly_Furtado/MZYGATXMOxU_0000012 212.2 216.2 
Nelly_Furtado/MZYGATXMOxU_0000013 230.5 234.6 
Nelly_Furtado/MZYGATXMOxU_0000014 235.0 241.9 
Nelly_Furtado/MZYGATXMOxU_0000015 246.3 250.4 
Nelly_Furtado/MZYGATXMOxU_0000016 272.9 278.4 
Nelly_Furtado/MZYGATXMOxU_0000017 285.0 291.9 
Nelly_Furtado/MZYGATXMOxU_0000018 296.2 300.7 
Nelly_Furtado/MZYGATXMOxU_0000019 301.5 310.6 
Nelly_Furtado/MZYGATXMOxU_0000020 337.3 347.9 
Nelly_Furtado/MZYGATXMOxU_0000021 348.8 355.0 
Nelly_Furtado/MZYGATXMOxU_0000022 368.8 378.6 
Nelly_Furtado/MZYGATXMOxU_0000023 392.6 399.1 
Nelly_Furtado/MZYGATXMOxU_0000024 403.0 411.1 
Nelly_Furtado/MZYGATXMOxU_0000025 414.5 419.9 
Nelly_Furtado/MZYGATXMOxU_0000026 422.8 427.8 
Nelly_Furtado/MZYGATXMOxU_0000027 428.0 440.4 
Nelly_Furtado/MZYGATXMOxU_0000028 475.6 484.7 
Nelly_Furtado/MZYGATXMOxU_0000029 485.4 497.6 
Nelly_Furtado/MZYGATXMOxU_0000030 504.0 509.4 
Nelly_Furtado/MZYGATXMOxU_0000031 510.2 517.7 
Nelly_Furtado/MZYGATXMOxU_0000032 531.2 542.2 
Nelly_Furtado/MZYGATXMOxU_0000033 547.1 552.9 
Nelly_Furtado/MZYGATXMOxU_0000034 590.1 596.5 
Nelly_Furtado/MZYGATXMOxU_0000035 602.2 608.6 
Nelly_Furtado/MZYGATXMOxU_0000036 651.8 658.1 
Nelly_Furtado/MZYGATXMOxU_0000037 683.3 688.7 
Nelly_Furtado/MZYGATXMOxU_0000038 712.4 719.6 
Nelly_Furtado/MZYGATXMOxU_0000039 739.6 743.8 
Nelly_Furtado/MZYGATXMOxU_0000040 748.2 752.1 
Nelly_Furtado/MZYGATXMOxU_0000041 755.6 761.2 
Nelly_Furtado/MZYGATXMOxU_0000042 764.8 771.4 
Nelly_Furtado/MZYGATXMOxU_0000043 779.2 783.2 
Nelly_Furtado/MZYGATXMOxU_0000044 784.2 792.2 
Nelly_Furtado/MZYGATXMOxU_0000045 803.2 808.4 
Nelly_Furtado/MZYGATXMOxU_0000046 826.6 830.9 
Nelly_Furtado/MZYGATXMOxU_0000047 870.0 874.6 
Nelly_Furtado/MZYGATXMOxU_0000048 881.8 888.3 
Nelly_Furtado/MZYGATXMOxU_0000049 888.8 893.5 
Nelly_Furtado/MZYGATXMOxU_0000050 894.7 899.3 
Nelly_Furtado/MZYGATXMOxU_0000051 951.7 963.6 
Nelly_Furtado/MZYGATXMOxU_0000052 952.1 960.4 
Nelly_Furtado/MZYGATXMOxU_0000053 975.5 980.2 
Nelly_Furtado/MZYGATXMOxU_0000054 981.4 986.8 
Nelly_Furtado/MZYGATXMOxU_0000055 988.0 997.0 
Nelly_Furtado/MZYGATXMOxU_0000056 1058.8 1064.8 
Nelly_Furtado/MZYGATXMOxU_0000057 1065.8 1070.8 
