POI: 			Nicola_Peltz 
Youtube ID: 	1R3XTTBorKk 
Video length: 	354.3 sec 
Set (V): 		dev 
 
Nicola_Peltz/1R3XTTBorKk_0000001 05.1 09.3 
Nicola_Peltz/1R3XTTBorKk_0000002 10.0 14.4 
Nicola_Peltz/1R3XTTBorKk_0000003 31.6 35.9 
Nicola_Peltz/1R3XTTBorKk_0000004 37.2 46.9 
Nicola_Peltz/1R3XTTBorKk_0000005 73.6 83.0 
Nicola_Peltz/1R3XTTBorKk_0000006 96.0 103.3 
Nicola_Peltz/1R3XTTBorKk_0000007 109.2 113.3 
Nicola_Peltz/1R3XTTBorKk_0000008 126.2 135.5 
Nicola_Peltz/1R3XTTBorKk_0000009 139.1 143.5 
Nicola_Peltz/1R3XTTBorKk_0000010 145.2 152.2 
Nicola_Peltz/1R3XTTBorKk_0000011 176.7 183.2 
Nicola_Peltz/1R3XTTBorKk_0000012 188.6 198.2 
Nicola_Peltz/1R3XTTBorKk_0000013 198.8 205.6 
Nicola_Peltz/1R3XTTBorKk_0000014 209.1 215.8 
Nicola_Peltz/1R3XTTBorKk_0000015 217.7 224.2 
Nicola_Peltz/1R3XTTBorKk_0000016 224.4 228.9 
Nicola_Peltz/1R3XTTBorKk_0000017 232.3 238.2 
Nicola_Peltz/1R3XTTBorKk_0000018 239.1 243.8 
Nicola_Peltz/1R3XTTBorKk_0000019 266.4 274.7 
Nicola_Peltz/1R3XTTBorKk_0000020 284.8 289.0 
Nicola_Peltz/1R3XTTBorKk_0000021 300.1 311.0 
Nicola_Peltz/1R3XTTBorKk_0000022 330.7 338.2 
Nicola_Peltz/1R3XTTBorKk_0000023 339.0 345.7 
