POI: 			Nicole_Beharie 
Youtube ID: 	XNhl0RPXq70 
Video length: 	267.5 sec 
Set (V): 		dev 
 
Nicole_Beharie/XNhl0RPXq70_0000001 06.6 35.4 
Nicole_Beharie/XNhl0RPXq70_0000002 48.3 61.0 
Nicole_Beharie/XNhl0RPXq70_0000003 49.1 74.1 
Nicole_Beharie/XNhl0RPXq70_0000004 81.8 87.9 
Nicole_Beharie/XNhl0RPXq70_0000005 105.2 111.8 
Nicole_Beharie/XNhl0RPXq70_0000006 112.0 124.6 
Nicole_Beharie/XNhl0RPXq70_0000007 125.6 135.4 
Nicole_Beharie/XNhl0RPXq70_0000008 155.9 164.0 
Nicole_Beharie/XNhl0RPXq70_0000009 166.4 170.3 
Nicole_Beharie/XNhl0RPXq70_0000010 171.2 181.0 
Nicole_Beharie/XNhl0RPXq70_0000011 184.2 189.4 
Nicole_Beharie/XNhl0RPXq70_0000012 190.0 207.0 
Nicole_Beharie/XNhl0RPXq70_0000013 220.0 224.0 
Nicole_Beharie/XNhl0RPXq70_0000014 230.2 236.8 
Nicole_Beharie/XNhl0RPXq70_0000015 239.1 244.1 
Nicole_Beharie/XNhl0RPXq70_0000016 252.1 258.0 
