POI: 			Nikolaj_Coster-Waldau 
Youtube ID: 	lgcnkVuZDsw 
Video length: 	1114.1 sec 
Set (V): 		dev 
 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000001 96.4 101.7 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000002 110.1 114.8 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000003 165.3 173.7 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000004 173.9 178.0 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000005 184.3 188.5 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000006 489.6 495.5 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000007 513.9 526.4 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000008 557.3 561.6 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000009 573.8 581.3 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000010 627.9 631.9 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000011 720.8 725.0 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000012 746.9 751.5 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000013 797.8 803.6 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000014 827.3 833.2 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000015 908.7 913.8 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000016 915.4 920.0 
Nikolaj_Coster-Waldau/lgcnkVuZDsw_0000017 1093.9 1098.0 
