POI: 			Octavia_Spencer 
Youtube ID: 	DxZaPGUIX50 
Video length: 	4769.8 sec 
Set (V): 		dev 
 
Octavia_Spencer/DxZaPGUIX50_0000001 91.8 102.3 
Octavia_Spencer/DxZaPGUIX50_0000002 169.7 180.8 
Octavia_Spencer/DxZaPGUIX50_0000003 188.0 201.4 
Octavia_Spencer/DxZaPGUIX50_0000004 209.3 218.5 
Octavia_Spencer/DxZaPGUIX50_0000005 240.0 247.0 
Octavia_Spencer/DxZaPGUIX50_0000006 256.4 260.7 
Octavia_Spencer/DxZaPGUIX50_0000007 307.3 312.2 
Octavia_Spencer/DxZaPGUIX50_0000008 315.2 320.3 
Octavia_Spencer/DxZaPGUIX50_0000009 336.4 341.0 
Octavia_Spencer/DxZaPGUIX50_0000010 341.8 358.1 
Octavia_Spencer/DxZaPGUIX50_0000011 317.7 329.8 
Octavia_Spencer/DxZaPGUIX50_0000012 330.8 341.8 
Octavia_Spencer/DxZaPGUIX50_0000013 394.8 402.0 
Octavia_Spencer/DxZaPGUIX50_0000014 423.0 440.4 
Octavia_Spencer/DxZaPGUIX50_0000015 465.7 475.5 
Octavia_Spencer/DxZaPGUIX50_0000016 501.1 510.7 
Octavia_Spencer/DxZaPGUIX50_0000017 605.1 613.6 
Octavia_Spencer/DxZaPGUIX50_0000018 614.0 628.8 
Octavia_Spencer/DxZaPGUIX50_0000019 630.0 637.5 
Octavia_Spencer/DxZaPGUIX50_0000020 647.6 654.3 
Octavia_Spencer/DxZaPGUIX50_0000021 654.8 662.4 
Octavia_Spencer/DxZaPGUIX50_0000022 681.6 687.0 
Octavia_Spencer/DxZaPGUIX50_0000023 697.7 704.5 
Octavia_Spencer/DxZaPGUIX50_0000024 717.2 725.0 
Octavia_Spencer/DxZaPGUIX50_0000025 758.1 775.8 
Octavia_Spencer/DxZaPGUIX50_0000026 789.9 796.8 
Octavia_Spencer/DxZaPGUIX50_0000027 797.9 803.6 
Octavia_Spencer/DxZaPGUIX50_0000028 815.6 819.6 
Octavia_Spencer/DxZaPGUIX50_0000029 841.2 850.2 
Octavia_Spencer/DxZaPGUIX50_0000030 862.5 867.4 
Octavia_Spencer/DxZaPGUIX50_0000031 934.8 939.1 
Octavia_Spencer/DxZaPGUIX50_0000032 965.2 974.9 
Octavia_Spencer/DxZaPGUIX50_0000033 975.9 985.0 
Octavia_Spencer/DxZaPGUIX50_0000034 993.2 997.1 
Octavia_Spencer/DxZaPGUIX50_0000035 1026.8 1035.0 
Octavia_Spencer/DxZaPGUIX50_0000036 1078.6 1086.7 
Octavia_Spencer/DxZaPGUIX50_0000037 1131.3 1140.5 
Octavia_Spencer/DxZaPGUIX50_0000038 1140.8 1145.6 
Octavia_Spencer/DxZaPGUIX50_0000039 1164.9 1169.0 
Octavia_Spencer/DxZaPGUIX50_0000040 1186.6 1190.6 
Octavia_Spencer/DxZaPGUIX50_0000041 1258.5 1268.5 
Octavia_Spencer/DxZaPGUIX50_0000042 1337.0 1356.6 
Octavia_Spencer/DxZaPGUIX50_0000043 1496.5 1501.0 
Octavia_Spencer/DxZaPGUIX50_0000044 1544.5 1557.7 
Octavia_Spencer/DxZaPGUIX50_0000045 1579.0 1584.2 
Octavia_Spencer/DxZaPGUIX50_0000046 1617.4 1625.4 
Octavia_Spencer/DxZaPGUIX50_0000047 1642.3 1648.4 
Octavia_Spencer/DxZaPGUIX50_0000048 1653.3 1660.5 
Octavia_Spencer/DxZaPGUIX50_0000049 1664.9 1681.1 
Octavia_Spencer/DxZaPGUIX50_0000050 1688.3 1702.3 
Octavia_Spencer/DxZaPGUIX50_0000051 1714.5 1726.2 
Octavia_Spencer/DxZaPGUIX50_0000052 1747.2 1751.3 
Octavia_Spencer/DxZaPGUIX50_0000053 1843.6 1854.6 
Octavia_Spencer/DxZaPGUIX50_0000054 1859.9 1865.6 
Octavia_Spencer/DxZaPGUIX50_0000055 1867.9 1874.1 
Octavia_Spencer/DxZaPGUIX50_0000056 1890.6 1898.8 
Octavia_Spencer/DxZaPGUIX50_0000057 1916.8 1938.7 
Octavia_Spencer/DxZaPGUIX50_0000058 1965.1 1972.2 
Octavia_Spencer/DxZaPGUIX50_0000059 1979.8 1999.6 
Octavia_Spencer/DxZaPGUIX50_0000060 2003.7 2008.7 
Octavia_Spencer/DxZaPGUIX50_0000061 2039.4 2046.2 
Octavia_Spencer/DxZaPGUIX50_0000062 2085.6 2103.1 
Octavia_Spencer/DxZaPGUIX50_0000063 2092.2 2101.6 
Octavia_Spencer/DxZaPGUIX50_0000064 2118.8 2124.0 
