POI: 			Paget_Brewster 
Youtube ID: 	dG53U3yrdCE 
Video length: 	4434.4 sec 
Set (V): 		dev 
 
Paget_Brewster/dG53U3yrdCE_0000001 132.5 141.4 
Paget_Brewster/dG53U3yrdCE_0000002 167.5 172.6 
Paget_Brewster/dG53U3yrdCE_0000003 217.4 234.2 
Paget_Brewster/dG53U3yrdCE_0000004 236.7 248.8 
Paget_Brewster/dG53U3yrdCE_0000005 253.4 265.1 
Paget_Brewster/dG53U3yrdCE_0000006 265.4 269.4 
Paget_Brewster/dG53U3yrdCE_0000007 285.8 294.6 
Paget_Brewster/dG53U3yrdCE_0000008 355.2 368.0 
Paget_Brewster/dG53U3yrdCE_0000009 456.0 462.2 
Paget_Brewster/dG53U3yrdCE_0000010 476.3 483.2 
Paget_Brewster/dG53U3yrdCE_0000011 494.9 505.5 
Paget_Brewster/dG53U3yrdCE_0000012 528.8 535.7 
Paget_Brewster/dG53U3yrdCE_0000013 544.5 549.8 
Paget_Brewster/dG53U3yrdCE_0000014 571.7 578.8 
Paget_Brewster/dG53U3yrdCE_0000015 581.4 586.3 
Paget_Brewster/dG53U3yrdCE_0000016 680.1 685.0 
Paget_Brewster/dG53U3yrdCE_0000017 715.8 722.2 
Paget_Brewster/dG53U3yrdCE_0000018 740.4 745.7 
Paget_Brewster/dG53U3yrdCE_0000019 752.6 757.3 
Paget_Brewster/dG53U3yrdCE_0000020 834.4 841.5 
Paget_Brewster/dG53U3yrdCE_0000021 858.0 863.8 
Paget_Brewster/dG53U3yrdCE_0000022 940.5 946.6 
Paget_Brewster/dG53U3yrdCE_0000023 983.6 992.0 
Paget_Brewster/dG53U3yrdCE_0000024 992.5 997.8 
Paget_Brewster/dG53U3yrdCE_0000025 1188.9 1194.5 
Paget_Brewster/dG53U3yrdCE_0000026 1218.5 1222.9 
Paget_Brewster/dG53U3yrdCE_0000027 1236.6 1255.0 
Paget_Brewster/dG53U3yrdCE_0000028 1268.4 1276.2 
Paget_Brewster/dG53U3yrdCE_0000029 1276.4 1286.1 
Paget_Brewster/dG53U3yrdCE_0000030 1289.3 1294.2 
Paget_Brewster/dG53U3yrdCE_0000031 1300.8 1309.8 
Paget_Brewster/dG53U3yrdCE_0000032 1333.9 1339.0 
Paget_Brewster/dG53U3yrdCE_0000033 1357.3 1361.7 
Paget_Brewster/dG53U3yrdCE_0000034 1362.3 1370.4 
Paget_Brewster/dG53U3yrdCE_0000035 1371.8 1378.3 
Paget_Brewster/dG53U3yrdCE_0000036 1429.4 1434.3 
Paget_Brewster/dG53U3yrdCE_0000037 1804.2 1810.7 
Paget_Brewster/dG53U3yrdCE_0000038 1810.8 1817.1 
Paget_Brewster/dG53U3yrdCE_0000039 1834.2 1839.6 
Paget_Brewster/dG53U3yrdCE_0000040 1840.9 1855.9 
Paget_Brewster/dG53U3yrdCE_0000041 1873.4 1879.1 
Paget_Brewster/dG53U3yrdCE_0000042 1880.4 1885.8 
Paget_Brewster/dG53U3yrdCE_0000043 1898.5 1904.4 
Paget_Brewster/dG53U3yrdCE_0000044 1923.0 1932.2 
Paget_Brewster/dG53U3yrdCE_0000045 1932.9 1942.8 
Paget_Brewster/dG53U3yrdCE_0000046 1963.6 1969.8 
Paget_Brewster/dG53U3yrdCE_0000047 2098.0 2104.2 
Paget_Brewster/dG53U3yrdCE_0000048 2115.6 2124.0 
Paget_Brewster/dG53U3yrdCE_0000049 2204.0 2208.2 
Paget_Brewster/dG53U3yrdCE_0000050 2256.7 2261.2 
Paget_Brewster/dG53U3yrdCE_0000051 2357.2 2374.2 
Paget_Brewster/dG53U3yrdCE_0000052 2375.0 2379.7 
Paget_Brewster/dG53U3yrdCE_0000053 2462.2 2467.2 
Paget_Brewster/dG53U3yrdCE_0000054 2481.1 2486.2 
Paget_Brewster/dG53U3yrdCE_0000055 2521.4 2532.4 
Paget_Brewster/dG53U3yrdCE_0000056 2569.8 2574.6 
Paget_Brewster/dG53U3yrdCE_0000057 2681.4 2685.6 
Paget_Brewster/dG53U3yrdCE_0000058 2777.2 2783.0 
Paget_Brewster/dG53U3yrdCE_0000059 2896.6 2902.2 
Paget_Brewster/dG53U3yrdCE_0000060 2912.0 2922.9 
Paget_Brewster/dG53U3yrdCE_0000061 2943.5 2949.2 
Paget_Brewster/dG53U3yrdCE_0000062 2954.8 2970.7 
Paget_Brewster/dG53U3yrdCE_0000063 2978.3 2985.1 
Paget_Brewster/dG53U3yrdCE_0000064 2999.3 3006.4 
Paget_Brewster/dG53U3yrdCE_0000065 3185.6 3198.5 
Paget_Brewster/dG53U3yrdCE_0000066 3199.8 3204.3 
Paget_Brewster/dG53U3yrdCE_0000067 3205.1 3210.4 
