POI: 			Parineeti_Chopra 
Youtube ID: 	2yUgv3B_YcI 
Video length: 	399.6 sec 
Set (V): 		dev 
 
Parineeti_Chopra/2yUgv3B_YcI_0000001 11.2 15.2 
Parineeti_Chopra/2yUgv3B_YcI_0000002 24.1 28.8 
Parineeti_Chopra/2yUgv3B_YcI_0000003 30.9 39.9 
Parineeti_Chopra/2yUgv3B_YcI_0000004 72.2 76.6 
Parineeti_Chopra/2yUgv3B_YcI_0000005 77.2 102.7 
Parineeti_Chopra/2yUgv3B_YcI_0000006 104.7 111.0 
Parineeti_Chopra/2yUgv3B_YcI_0000007 113.0 119.7 
Parineeti_Chopra/2yUgv3B_YcI_0000008 132.0 144.7 
Parineeti_Chopra/2yUgv3B_YcI_0000009 144.9 155.3 
Parineeti_Chopra/2yUgv3B_YcI_0000010 158.4 162.9 
Parineeti_Chopra/2yUgv3B_YcI_0000011 127.5 136.8 
Parineeti_Chopra/2yUgv3B_YcI_0000012 165.3 171.5 
Parineeti_Chopra/2yUgv3B_YcI_0000013 219.2 242.7 
Parineeti_Chopra/2yUgv3B_YcI_0000014 249.6 254.8 
Parineeti_Chopra/2yUgv3B_YcI_0000015 255.0 263.1 
Parineeti_Chopra/2yUgv3B_YcI_0000016 282.6 289.6 
Parineeti_Chopra/2yUgv3B_YcI_0000017 293.2 300.6 
Parineeti_Chopra/2yUgv3B_YcI_0000018 310.1 319.3 
Parineeti_Chopra/2yUgv3B_YcI_0000019 327.0 331.0 
Parineeti_Chopra/2yUgv3B_YcI_0000020 335.0 340.5 
Parineeti_Chopra/2yUgv3B_YcI_0000021 347.6 355.2 
