POI: 			Parineeti_Chopra 
Youtube ID: 	NBh6Y-hphmo 
Video length: 	542.1 sec 
Set (V): 		dev 
 
Parineeti_Chopra/NBh6Y-hphmo_0000001 58.0 63.1 
Parineeti_Chopra/NBh6Y-hphmo_0000002 65.0 72.5 
Parineeti_Chopra/NBh6Y-hphmo_0000003 80.2 88.5 
Parineeti_Chopra/NBh6Y-hphmo_0000004 191.2 198.2 
Parineeti_Chopra/NBh6Y-hphmo_0000005 222.0 226.0 
Parineeti_Chopra/NBh6Y-hphmo_0000006 242.5 246.8 
Parineeti_Chopra/NBh6Y-hphmo_0000007 249.9 256.5 
Parineeti_Chopra/NBh6Y-hphmo_0000008 317.2 325.4 
Parineeti_Chopra/NBh6Y-hphmo_0000009 328.0 332.5 
Parineeti_Chopra/NBh6Y-hphmo_0000010 341.1 346.6 
Parineeti_Chopra/NBh6Y-hphmo_0000011 352.0 361.2 
Parineeti_Chopra/NBh6Y-hphmo_0000012 441.5 448.5 
Parineeti_Chopra/NBh6Y-hphmo_0000013 453.9 460.9 
Parineeti_Chopra/NBh6Y-hphmo_0000014 461.7 466.6 
Parineeti_Chopra/NBh6Y-hphmo_0000015 466.8 473.8 
Parineeti_Chopra/NBh6Y-hphmo_0000016 485.9 490.8 
Parineeti_Chopra/NBh6Y-hphmo_0000017 498.4 503.2 
