POI: 			Peter_Capaldi 
Youtube ID: 	IHGVJEvRo-c 
Video length: 	541.1 sec 
Set (V): 		dev 
 
Peter_Capaldi/IHGVJEvRo-c_0000001 77.2 85.3 
Peter_Capaldi/IHGVJEvRo-c_0000002 86.2 101.6 
Peter_Capaldi/IHGVJEvRo-c_0000003 102.7 108.2 
Peter_Capaldi/IHGVJEvRo-c_0000004 112.6 118.7 
Peter_Capaldi/IHGVJEvRo-c_0000005 120.6 129.2 
Peter_Capaldi/IHGVJEvRo-c_0000006 134.6 141.8 
Peter_Capaldi/IHGVJEvRo-c_0000007 151.4 164.4 
Peter_Capaldi/IHGVJEvRo-c_0000008 165.4 169.7 
Peter_Capaldi/IHGVJEvRo-c_0000009 215.1 219.1 
Peter_Capaldi/IHGVJEvRo-c_0000010 220.0 226.2 
Peter_Capaldi/IHGVJEvRo-c_0000011 227.2 235.9 
Peter_Capaldi/IHGVJEvRo-c_0000012 244.1 253.8 
Peter_Capaldi/IHGVJEvRo-c_0000013 394.9 402.8 
Peter_Capaldi/IHGVJEvRo-c_0000014 470.0 476.0 
Peter_Capaldi/IHGVJEvRo-c_0000015 482.1 500.9 
Peter_Capaldi/IHGVJEvRo-c_0000016 509.8 517.6 
Peter_Capaldi/IHGVJEvRo-c_0000017 519.8 534.2 
