POI: 			Phyllis_Diller 
Youtube ID: 	BOt7JgLl62c 
Video length: 	297.0 sec 
Set (V): 		dev 
 
Phyllis_Diller/BOt7JgLl62c_0000001 12.0 18.2 
Phyllis_Diller/BOt7JgLl62c_0000002 18.4 24.6 
Phyllis_Diller/BOt7JgLl62c_0000003 27.6 36.2 
Phyllis_Diller/BOt7JgLl62c_0000004 36.4 44.1 
Phyllis_Diller/BOt7JgLl62c_0000005 49.4 57.8 
Phyllis_Diller/BOt7JgLl62c_0000006 59.5 65.8 
Phyllis_Diller/BOt7JgLl62c_0000007 67.9 73.0 
Phyllis_Diller/BOt7JgLl62c_0000008 74.8 80.8 
Phyllis_Diller/BOt7JgLl62c_0000009 94.8 99.6 
Phyllis_Diller/BOt7JgLl62c_0000010 119.0 123.4 
Phyllis_Diller/BOt7JgLl62c_0000011 124.8 128.8 
Phyllis_Diller/BOt7JgLl62c_0000012 140.2 144.4 
Phyllis_Diller/BOt7JgLl62c_0000013 145.3 170.5 
Phyllis_Diller/BOt7JgLl62c_0000014 170.6 186.2 
Phyllis_Diller/BOt7JgLl62c_0000015 186.3 198.7 
Phyllis_Diller/BOt7JgLl62c_0000016 199.1 205.9 
Phyllis_Diller/BOt7JgLl62c_0000017 216.0 220.0 
Phyllis_Diller/BOt7JgLl62c_0000018 224.2 234.0 
Phyllis_Diller/BOt7JgLl62c_0000019 235.1 239.7 
Phyllis_Diller/BOt7JgLl62c_0000020 242.9 246.9 
Phyllis_Diller/BOt7JgLl62c_0000021 247.3 252.9 
Phyllis_Diller/BOt7JgLl62c_0000022 256.3 264.3 
Phyllis_Diller/BOt7JgLl62c_0000023 265.6 282.0 
