POI: 			Rami_Malek 
Youtube ID: 	8J1CnIq9uIo 
Video length: 	2071.8 sec 
Set (V): 		dev 
 
Rami_Malek/8J1CnIq9uIo_0000001 55.5 74.2 
Rami_Malek/8J1CnIq9uIo_0000002 86.8 90.9 
Rami_Malek/8J1CnIq9uIo_0000003 146.0 150.2 
Rami_Malek/8J1CnIq9uIo_0000004 151.0 156.9 
Rami_Malek/8J1CnIq9uIo_0000005 168.0 181.8 
Rami_Malek/8J1CnIq9uIo_0000006 227.9 234.4 
Rami_Malek/8J1CnIq9uIo_0000007 246.4 254.2 
Rami_Malek/8J1CnIq9uIo_0000008 298.4 307.6 
Rami_Malek/8J1CnIq9uIo_0000009 311.9 320.5 
Rami_Malek/8J1CnIq9uIo_0000010 325.2 333.4 
Rami_Malek/8J1CnIq9uIo_0000011 413.2 420.6 
Rami_Malek/8J1CnIq9uIo_0000012 427.6 433.7 
Rami_Malek/8J1CnIq9uIo_0000013 434.4 438.4 
Rami_Malek/8J1CnIq9uIo_0000014 449.7 454.8 
Rami_Malek/8J1CnIq9uIo_0000015 488.3 501.8 
Rami_Malek/8J1CnIq9uIo_0000016 541.8 554.7 
Rami_Malek/8J1CnIq9uIo_0000017 556.7 561.6 
Rami_Malek/8J1CnIq9uIo_0000018 565.4 577.0 
Rami_Malek/8J1CnIq9uIo_0000019 585.0 605.9 
Rami_Malek/8J1CnIq9uIo_0000020 683.4 687.9 
Rami_Malek/8J1CnIq9uIo_0000021 690.6 696.0 
Rami_Malek/8J1CnIq9uIo_0000022 696.2 701.9 
Rami_Malek/8J1CnIq9uIo_0000023 761.9 769.4 
Rami_Malek/8J1CnIq9uIo_0000024 770.8 780.8 
Rami_Malek/8J1CnIq9uIo_0000025 812.7 825.0 
Rami_Malek/8J1CnIq9uIo_0000026 853.1 858.4 
Rami_Malek/8J1CnIq9uIo_0000027 892.0 905.2 
Rami_Malek/8J1CnIq9uIo_0000028 907.4 918.4 
Rami_Malek/8J1CnIq9uIo_0000029 923.8 933.7 
Rami_Malek/8J1CnIq9uIo_0000030 960.4 966.2 
Rami_Malek/8J1CnIq9uIo_0000031 985.3 991.9 
Rami_Malek/8J1CnIq9uIo_0000032 994.9 1000.9 
Rami_Malek/8J1CnIq9uIo_0000033 1005.1 1011.9 
Rami_Malek/8J1CnIq9uIo_0000034 1024.4 1028.7 
Rami_Malek/8J1CnIq9uIo_0000035 1048.2 1052.9 
Rami_Malek/8J1CnIq9uIo_0000036 1053.3 1060.1 
Rami_Malek/8J1CnIq9uIo_0000037 1152.1 1156.4 
Rami_Malek/8J1CnIq9uIo_0000038 1156.6 1161.2 
Rami_Malek/8J1CnIq9uIo_0000039 1189.8 1199.6 
Rami_Malek/8J1CnIq9uIo_0000040 1230.8 1235.4 
Rami_Malek/8J1CnIq9uIo_0000041 1237.4 1251.8 
Rami_Malek/8J1CnIq9uIo_0000042 1258.0 1262.7 
Rami_Malek/8J1CnIq9uIo_0000043 1362.7 1370.0 
Rami_Malek/8J1CnIq9uIo_0000044 1387.7 1392.2 
Rami_Malek/8J1CnIq9uIo_0000045 1426.7 1432.1 
Rami_Malek/8J1CnIq9uIo_0000046 1502.6 1509.0 
Rami_Malek/8J1CnIq9uIo_0000047 1513.4 1520.4 
Rami_Malek/8J1CnIq9uIo_0000048 1526.3 1531.5 
Rami_Malek/8J1CnIq9uIo_0000049 1589.2 1596.4 
Rami_Malek/8J1CnIq9uIo_0000050 1633.5 1638.3 
Rami_Malek/8J1CnIq9uIo_0000051 1639.1 1647.2 
Rami_Malek/8J1CnIq9uIo_0000052 1672.2 1688.7 
Rami_Malek/8J1CnIq9uIo_0000053 1689.4 1711.7 
Rami_Malek/8J1CnIq9uIo_0000054 1736.3 1741.0 
Rami_Malek/8J1CnIq9uIo_0000055 1790.1 1795.4 
Rami_Malek/8J1CnIq9uIo_0000056 1818.4 1822.5 
Rami_Malek/8J1CnIq9uIo_0000057 1831.4 1836.2 
Rami_Malek/8J1CnIq9uIo_0000058 1838.5 1853.2 
Rami_Malek/8J1CnIq9uIo_0000059 1866.7 1875.3 
Rami_Malek/8J1CnIq9uIo_0000060 1879.9 1888.5 
Rami_Malek/8J1CnIq9uIo_0000061 1888.9 1893.9 
Rami_Malek/8J1CnIq9uIo_0000062 1895.4 1900.7 
Rami_Malek/8J1CnIq9uIo_0000063 1917.0 1923.9 
Rami_Malek/8J1CnIq9uIo_0000064 1928.2 1937.5 
Rami_Malek/8J1CnIq9uIo_0000065 1966.7 1971.2 
Rami_Malek/8J1CnIq9uIo_0000066 1973.5 1987.5 
Rami_Malek/8J1CnIq9uIo_0000067 2018.7 2022.8 
Rami_Malek/8J1CnIq9uIo_0000068 2048.2 2065.8 
