POI: 			Ranbir_Kapoor 
Youtube ID: 	fM25hh5Dd-E 
Video length: 	1707.0 sec 
Set (V): 		dev 
 
Ranbir_Kapoor/fM25hh5Dd-E_0000001 129.3 134.6 
Ranbir_Kapoor/fM25hh5Dd-E_0000002 249.9 255.9 
Ranbir_Kapoor/fM25hh5Dd-E_0000003 282.1 287.9 
Ranbir_Kapoor/fM25hh5Dd-E_0000004 426.0 431.4 
Ranbir_Kapoor/fM25hh5Dd-E_0000005 442.2 447.7 
Ranbir_Kapoor/fM25hh5Dd-E_0000006 451.6 455.8 
Ranbir_Kapoor/fM25hh5Dd-E_0000007 498.0 503.5 
Ranbir_Kapoor/fM25hh5Dd-E_0000008 651.6 655.5 
Ranbir_Kapoor/fM25hh5Dd-E_0000009 666.2 670.5 
Ranbir_Kapoor/fM25hh5Dd-E_0000010 673.9 678.3 
Ranbir_Kapoor/fM25hh5Dd-E_0000011 699.4 704.4 
Ranbir_Kapoor/fM25hh5Dd-E_0000012 723.3 727.3 
Ranbir_Kapoor/fM25hh5Dd-E_0000013 788.6 792.9 
Ranbir_Kapoor/fM25hh5Dd-E_0000014 1066.4 1071.3 
Ranbir_Kapoor/fM25hh5Dd-E_0000015 1250.4 1256.2 
Ranbir_Kapoor/fM25hh5Dd-E_0000016 1275.0 1279.0 
Ranbir_Kapoor/fM25hh5Dd-E_0000017 1377.1 1383.6 
Ranbir_Kapoor/fM25hh5Dd-E_0000018 1459.5 1464.1 
Ranbir_Kapoor/fM25hh5Dd-E_0000019 1527.4 1531.9 
Ranbir_Kapoor/fM25hh5Dd-E_0000020 1538.8 1543.8 
Ranbir_Kapoor/fM25hh5Dd-E_0000021 1546.4 1552.0 
Ranbir_Kapoor/fM25hh5Dd-E_0000022 1607.8 1615.5 
Ranbir_Kapoor/fM25hh5Dd-E_0000023 1666.3 1672.2 
