POI: 			Ray_Winstone 
Youtube ID: 	vP4f95AK8L4 
Video length: 	593.7 sec 
Set (V): 		dev 
 
Ray_Winstone/vP4f95AK8L4_0000001 08.3 12.9 
Ray_Winstone/vP4f95AK8L4_0000002 18.2 28.3 
Ray_Winstone/vP4f95AK8L4_0000003 29.0 32.9 
Ray_Winstone/vP4f95AK8L4_0000004 40.4 48.2 
Ray_Winstone/vP4f95AK8L4_0000005 56.7 69.5 
Ray_Winstone/vP4f95AK8L4_0000006 75.0 83.1 
Ray_Winstone/vP4f95AK8L4_0000007 94.1 109.0 
Ray_Winstone/vP4f95AK8L4_0000008 111.6 116.3 
Ray_Winstone/vP4f95AK8L4_0000009 134.5 155.3 
Ray_Winstone/vP4f95AK8L4_0000010 236.2 243.2 
Ray_Winstone/vP4f95AK8L4_0000011 267.2 271.3 
Ray_Winstone/vP4f95AK8L4_0000012 271.5 278.2 
Ray_Winstone/vP4f95AK8L4_0000013 278.4 282.8 
Ray_Winstone/vP4f95AK8L4_0000014 266.5 270.6 
Ray_Winstone/vP4f95AK8L4_0000015 297.1 301.8 
Ray_Winstone/vP4f95AK8L4_0000016 327.8 335.0 
Ray_Winstone/vP4f95AK8L4_0000017 481.9 490.2 
Ray_Winstone/vP4f95AK8L4_0000018 529.0 542.2 
