POI: 			Rob_Reiner 
Youtube ID: 	Hyck_yynhF4 
Video length: 	1552.7 sec 
Set (V): 		dev 
 
Rob_Reiner/Hyck_yynhF4_0000001 83.9 97.2 
Rob_Reiner/Hyck_yynhF4_0000002 103.6 123.2 
Rob_Reiner/Hyck_yynhF4_0000003 128.6 133.2 
Rob_Reiner/Hyck_yynhF4_0000004 148.6 155.4 
Rob_Reiner/Hyck_yynhF4_0000005 180.0 199.7 
Rob_Reiner/Hyck_yynhF4_0000006 213.4 219.0 
Rob_Reiner/Hyck_yynhF4_0000007 222.9 234.7 
Rob_Reiner/Hyck_yynhF4_0000008 244.9 252.2 
Rob_Reiner/Hyck_yynhF4_0000009 261.1 270.8 
Rob_Reiner/Hyck_yynhF4_0000010 275.2 299.7 
Rob_Reiner/Hyck_yynhF4_0000011 303.4 311.2 
Rob_Reiner/Hyck_yynhF4_0000012 325.4 344.3 
Rob_Reiner/Hyck_yynhF4_0000013 348.6 360.2 
Rob_Reiner/Hyck_yynhF4_0000014 363.4 368.3 
Rob_Reiner/Hyck_yynhF4_0000015 374.6 384.4 
Rob_Reiner/Hyck_yynhF4_0000016 386.2 401.9 
Rob_Reiner/Hyck_yynhF4_0000017 406.0 423.8 
Rob_Reiner/Hyck_yynhF4_0000018 427.8 440.7 
Rob_Reiner/Hyck_yynhF4_0000019 440.8 461.0 
Rob_Reiner/Hyck_yynhF4_0000020 473.5 478.7 
Rob_Reiner/Hyck_yynhF4_0000021 494.1 506.4 
Rob_Reiner/Hyck_yynhF4_0000022 510.8 521.3 
Rob_Reiner/Hyck_yynhF4_0000023 521.7 527.2 
Rob_Reiner/Hyck_yynhF4_0000024 533.5 537.7 
Rob_Reiner/Hyck_yynhF4_0000025 570.6 575.8 
Rob_Reiner/Hyck_yynhF4_0000026 577.0 584.6 
Rob_Reiner/Hyck_yynhF4_0000027 622.6 627.0 
Rob_Reiner/Hyck_yynhF4_0000028 631.3 636.9 
Rob_Reiner/Hyck_yynhF4_0000029 648.0 652.5 
Rob_Reiner/Hyck_yynhF4_0000030 707.4 726.2 
Rob_Reiner/Hyck_yynhF4_0000031 749.2 757.5 
Rob_Reiner/Hyck_yynhF4_0000032 764.4 778.8 
Rob_Reiner/Hyck_yynhF4_0000033 782.4 792.5 
Rob_Reiner/Hyck_yynhF4_0000034 793.8 800.0 
Rob_Reiner/Hyck_yynhF4_0000035 808.6 816.9 
Rob_Reiner/Hyck_yynhF4_0000036 821.8 829.1 
Rob_Reiner/Hyck_yynhF4_0000037 842.4 851.5 
Rob_Reiner/Hyck_yynhF4_0000038 857.4 881.2 
Rob_Reiner/Hyck_yynhF4_0000039 954.5 959.2 
Rob_Reiner/Hyck_yynhF4_0000040 961.0 969.4 
Rob_Reiner/Hyck_yynhF4_0000041 973.4 988.4 
Rob_Reiner/Hyck_yynhF4_0000042 994.2 1003.2 
Rob_Reiner/Hyck_yynhF4_0000043 1016.0 1032.6 
Rob_Reiner/Hyck_yynhF4_0000044 1054.0 1062.7 
Rob_Reiner/Hyck_yynhF4_0000045 1067.0 1079.8 
Rob_Reiner/Hyck_yynhF4_0000046 1084.2 1089.1 
Rob_Reiner/Hyck_yynhF4_0000047 1094.3 1109.4 
Rob_Reiner/Hyck_yynhF4_0000048 1123.6 1128.8 
Rob_Reiner/Hyck_yynhF4_0000049 1131.7 1162.0 
Rob_Reiner/Hyck_yynhF4_0000050 1194.1 1218.7 
Rob_Reiner/Hyck_yynhF4_0000051 1224.5 1238.6 
Rob_Reiner/Hyck_yynhF4_0000052 1250.2 1260.3 
Rob_Reiner/Hyck_yynhF4_0000053 1267.2 1278.4 
Rob_Reiner/Hyck_yynhF4_0000054 1297.6 1310.5 
Rob_Reiner/Hyck_yynhF4_0000055 1336.5 1347.0 
Rob_Reiner/Hyck_yynhF4_0000056 1350.8 1363.7 
Rob_Reiner/Hyck_yynhF4_0000057 1385.4 1393.4 
Rob_Reiner/Hyck_yynhF4_0000058 1422.6 1429.5 
Rob_Reiner/Hyck_yynhF4_0000059 1429.9 1449.7 
Rob_Reiner/Hyck_yynhF4_0000060 1462.2 1468.9 
Rob_Reiner/Hyck_yynhF4_0000061 1481.8 1500.0 
Rob_Reiner/Hyck_yynhF4_0000062 1512.0 1527.9 
