POI: 			Rob_Reiner 
Youtube ID: 	KH-yJAsKo1Q 
Video length: 	1237.1 sec 
Set (V): 		dev 
 
Rob_Reiner/KH-yJAsKo1Q_0000001 224.6 234.0 
Rob_Reiner/KH-yJAsKo1Q_0000002 251.4 261.0 
Rob_Reiner/KH-yJAsKo1Q_0000003 261.6 268.2 
Rob_Reiner/KH-yJAsKo1Q_0000004 270.0 296.0 
Rob_Reiner/KH-yJAsKo1Q_0000005 301.4 306.8 
Rob_Reiner/KH-yJAsKo1Q_0000006 303.2 307.3 
Rob_Reiner/KH-yJAsKo1Q_0000007 311.3 345.3 
Rob_Reiner/KH-yJAsKo1Q_0000008 347.1 356.8 
Rob_Reiner/KH-yJAsKo1Q_0000009 348.6 356.6 
Rob_Reiner/KH-yJAsKo1Q_0000010 388.0 393.1 
Rob_Reiner/KH-yJAsKo1Q_0000011 399.2 409.5 
Rob_Reiner/KH-yJAsKo1Q_0000012 452.0 486.6 
Rob_Reiner/KH-yJAsKo1Q_0000013 512.4 552.0 
Rob_Reiner/KH-yJAsKo1Q_0000014 560.7 587.3 
Rob_Reiner/KH-yJAsKo1Q_0000015 587.6 596.4 
Rob_Reiner/KH-yJAsKo1Q_0000016 597.2 603.8 
Rob_Reiner/KH-yJAsKo1Q_0000017 609.0 613.6 
Rob_Reiner/KH-yJAsKo1Q_0000018 646.7 659.2 
Rob_Reiner/KH-yJAsKo1Q_0000019 661.2 667.1 
Rob_Reiner/KH-yJAsKo1Q_0000020 667.6 673.8 
Rob_Reiner/KH-yJAsKo1Q_0000021 676.5 689.3 
Rob_Reiner/KH-yJAsKo1Q_0000022 702.6 713.0 
Rob_Reiner/KH-yJAsKo1Q_0000023 714.2 719.6 
Rob_Reiner/KH-yJAsKo1Q_0000024 724.8 729.4 
Rob_Reiner/KH-yJAsKo1Q_0000025 729.6 736.6 
Rob_Reiner/KH-yJAsKo1Q_0000026 744.1 750.7 
Rob_Reiner/KH-yJAsKo1Q_0000027 755.1 761.4 
Rob_Reiner/KH-yJAsKo1Q_0000028 771.4 778.0 
Rob_Reiner/KH-yJAsKo1Q_0000029 774.5 784.8 
Rob_Reiner/KH-yJAsKo1Q_0000030 814.5 822.6 
Rob_Reiner/KH-yJAsKo1Q_0000031 826.5 832.0 
Rob_Reiner/KH-yJAsKo1Q_0000032 832.2 853.1 
Rob_Reiner/KH-yJAsKo1Q_0000033 862.6 866.7 
Rob_Reiner/KH-yJAsKo1Q_0000034 878.8 894.3 
Rob_Reiner/KH-yJAsKo1Q_0000035 888.2 894.3 
Rob_Reiner/KH-yJAsKo1Q_0000036 896.5 902.2 
Rob_Reiner/KH-yJAsKo1Q_0000037 928.6 934.9 
Rob_Reiner/KH-yJAsKo1Q_0000038 946.4 987.9 
Rob_Reiner/KH-yJAsKo1Q_0000039 1004.6 1055.5 
Rob_Reiner/KH-yJAsKo1Q_0000040 1073.1 1077.9 
Rob_Reiner/KH-yJAsKo1Q_0000041 1094.4 1120.7 
Rob_Reiner/KH-yJAsKo1Q_0000042 1135.9 1151.8 
Rob_Reiner/KH-yJAsKo1Q_0000043 1152.1 1167.4 
Rob_Reiner/KH-yJAsKo1Q_0000044 1167.7 1172.6 
Rob_Reiner/KH-yJAsKo1Q_0000045 1173.7 1178.7 
Rob_Reiner/KH-yJAsKo1Q_0000046 1214.7 1223.4 
