POI: 			Rooney_Mara 
Youtube ID: 	rsO79xUsxlU 
Video length: 	1748.1 sec 
Set (V): 		dev 
 
Rooney_Mara/rsO79xUsxlU_0000001 49.5 59.1 
Rooney_Mara/rsO79xUsxlU_0000002 60.5 64.4 
Rooney_Mara/rsO79xUsxlU_0000003 64.6 76.8 
Rooney_Mara/rsO79xUsxlU_0000004 81.1 87.4 
Rooney_Mara/rsO79xUsxlU_0000005 89.2 93.2 
Rooney_Mara/rsO79xUsxlU_0000006 93.7 98.8 
Rooney_Mara/rsO79xUsxlU_0000007 112.2 122.5 
Rooney_Mara/rsO79xUsxlU_0000008 122.7 127.3 
Rooney_Mara/rsO79xUsxlU_0000009 138.9 143.1 
Rooney_Mara/rsO79xUsxlU_0000010 185.3 192.6 
Rooney_Mara/rsO79xUsxlU_0000011 204.2 213.8 
Rooney_Mara/rsO79xUsxlU_0000012 219.4 228.1 
Rooney_Mara/rsO79xUsxlU_0000013 238.6 245.0 
Rooney_Mara/rsO79xUsxlU_0000014 257.5 262.8 
Rooney_Mara/rsO79xUsxlU_0000015 263.4 282.8 
Rooney_Mara/rsO79xUsxlU_0000016 302.8 308.9 
Rooney_Mara/rsO79xUsxlU_0000017 339.4 349.9 
Rooney_Mara/rsO79xUsxlU_0000018 374.7 382.8 
Rooney_Mara/rsO79xUsxlU_0000019 384.9 392.9 
Rooney_Mara/rsO79xUsxlU_0000020 412.7 421.4 
Rooney_Mara/rsO79xUsxlU_0000021 451.9 461.5 
Rooney_Mara/rsO79xUsxlU_0000022 471.8 476.5 
Rooney_Mara/rsO79xUsxlU_0000023 480.0 487.0 
Rooney_Mara/rsO79xUsxlU_0000024 492.4 497.3 
Rooney_Mara/rsO79xUsxlU_0000025 506.2 511.9 
Rooney_Mara/rsO79xUsxlU_0000026 529.0 533.3 
Rooney_Mara/rsO79xUsxlU_0000027 535.1 539.3 
Rooney_Mara/rsO79xUsxlU_0000028 541.3 549.7 
Rooney_Mara/rsO79xUsxlU_0000029 554.3 559.2 
Rooney_Mara/rsO79xUsxlU_0000030 559.3 564.3 
Rooney_Mara/rsO79xUsxlU_0000031 572.4 577.4 
Rooney_Mara/rsO79xUsxlU_0000032 591.9 596.0 
Rooney_Mara/rsO79xUsxlU_0000033 596.6 603.6 
Rooney_Mara/rsO79xUsxlU_0000034 616.8 626.6 
Rooney_Mara/rsO79xUsxlU_0000035 626.8 637.4 
Rooney_Mara/rsO79xUsxlU_0000036 659.4 663.9 
Rooney_Mara/rsO79xUsxlU_0000037 683.8 694.3 
Rooney_Mara/rsO79xUsxlU_0000038 723.7 729.9 
Rooney_Mara/rsO79xUsxlU_0000039 741.5 745.4 
Rooney_Mara/rsO79xUsxlU_0000040 766.3 774.4 
Rooney_Mara/rsO79xUsxlU_0000041 833.6 838.6 
Rooney_Mara/rsO79xUsxlU_0000042 840.1 847.4 
Rooney_Mara/rsO79xUsxlU_0000043 896.0 903.6 
Rooney_Mara/rsO79xUsxlU_0000044 923.3 929.3 
Rooney_Mara/rsO79xUsxlU_0000045 947.6 952.5 
Rooney_Mara/rsO79xUsxlU_0000046 952.7 959.5 
Rooney_Mara/rsO79xUsxlU_0000047 990.2 997.8 
Rooney_Mara/rsO79xUsxlU_0000048 1003.5 1008.4 
Rooney_Mara/rsO79xUsxlU_0000049 1008.6 1014.0 
Rooney_Mara/rsO79xUsxlU_0000050 1016.4 1021.9 
Rooney_Mara/rsO79xUsxlU_0000051 1057.8 1063.6 
Rooney_Mara/rsO79xUsxlU_0000052 1073.4 1078.5 
Rooney_Mara/rsO79xUsxlU_0000053 1088.5 1093.0 
Rooney_Mara/rsO79xUsxlU_0000054 1121.3 1126.0 
Rooney_Mara/rsO79xUsxlU_0000055 1126.2 1134.5 
Rooney_Mara/rsO79xUsxlU_0000056 1182.3 1186.6 
Rooney_Mara/rsO79xUsxlU_0000057 1332.2 1337.1 
Rooney_Mara/rsO79xUsxlU_0000058 1364.1 1369.4 
Rooney_Mara/rsO79xUsxlU_0000059 1375.2 1382.6 
Rooney_Mara/rsO79xUsxlU_0000060 1386.6 1392.7 
Rooney_Mara/rsO79xUsxlU_0000061 1392.8 1398.6 
Rooney_Mara/rsO79xUsxlU_0000062 1416.2 1420.5 
Rooney_Mara/rsO79xUsxlU_0000063 1453.2 1457.9 
Rooney_Mara/rsO79xUsxlU_0000064 1479.2 1484.7 
Rooney_Mara/rsO79xUsxlU_0000065 1602.9 1607.1 
Rooney_Mara/rsO79xUsxlU_0000066 1611.7 1615.7 
Rooney_Mara/rsO79xUsxlU_0000067 1624.5 1629.7 
Rooney_Mara/rsO79xUsxlU_0000068 1639.0 1643.0 
Rooney_Mara/rsO79xUsxlU_0000069 1644.2 1651.0 
Rooney_Mara/rsO79xUsxlU_0000070 1673.0 1677.0 
Rooney_Mara/rsO79xUsxlU_0000071 1677.7 1683.9 
Rooney_Mara/rsO79xUsxlU_0000072 1688.9 1692.8 
