POI: 			S._Epatha_Merkerson 
Youtube ID: 	BEtpH-sCXjc 
Video length: 	282.4 sec 
Set (V): 		dev 
 
S._Epatha_Merkerson/BEtpH-sCXjc_0000001 14.9 20.0 
S._Epatha_Merkerson/BEtpH-sCXjc_0000002 35.0 45.6 
S._Epatha_Merkerson/BEtpH-sCXjc_0000003 46.3 52.2 
S._Epatha_Merkerson/BEtpH-sCXjc_0000004 52.7 63.0 
S._Epatha_Merkerson/BEtpH-sCXjc_0000005 63.4 70.3 
S._Epatha_Merkerson/BEtpH-sCXjc_0000006 70.6 84.3 
S._Epatha_Merkerson/BEtpH-sCXjc_0000007 125.5 134.2 
S._Epatha_Merkerson/BEtpH-sCXjc_0000008 134.7 141.9 
S._Epatha_Merkerson/BEtpH-sCXjc_0000009 145.9 153.6 
S._Epatha_Merkerson/BEtpH-sCXjc_0000010 156.4 162.1 
S._Epatha_Merkerson/BEtpH-sCXjc_0000011 190.5 196.2 
S._Epatha_Merkerson/BEtpH-sCXjc_0000012 199.0 203.4 
S._Epatha_Merkerson/BEtpH-sCXjc_0000013 207.6 212.6 
S._Epatha_Merkerson/BEtpH-sCXjc_0000014 215.0 220.5 
S._Epatha_Merkerson/BEtpH-sCXjc_0000015 221.0 242.2 
S._Epatha_Merkerson/BEtpH-sCXjc_0000016 243.5 248.9 
S._Epatha_Merkerson/BEtpH-sCXjc_0000017 250.9 257.5 
S._Epatha_Merkerson/BEtpH-sCXjc_0000018 258.0 262.4 
