POI: 			Sara_Gilbert 
Youtube ID: 	AsPfaE14ryY 
Video length: 	952.1 sec 
Set (V): 		dev 
 
Sara_Gilbert/AsPfaE14ryY_0000001 13.3 18.0 
Sara_Gilbert/AsPfaE14ryY_0000002 20.3 26.8 
Sara_Gilbert/AsPfaE14ryY_0000003 27.0 31.0 
Sara_Gilbert/AsPfaE14ryY_0000004 34.3 40.1 
Sara_Gilbert/AsPfaE14ryY_0000005 50.7 56.1 
Sara_Gilbert/AsPfaE14ryY_0000006 58.2 65.2 
Sara_Gilbert/AsPfaE14ryY_0000007 66.4 84.2 
Sara_Gilbert/AsPfaE14ryY_0000008 86.6 101.0 
Sara_Gilbert/AsPfaE14ryY_0000009 104.2 115.6 
Sara_Gilbert/AsPfaE14ryY_0000010 116.1 125.4 
Sara_Gilbert/AsPfaE14ryY_0000011 126.4 139.5 
Sara_Gilbert/AsPfaE14ryY_0000012 140.8 151.7 
Sara_Gilbert/AsPfaE14ryY_0000013 156.3 171.2 
Sara_Gilbert/AsPfaE14ryY_0000014 171.8 180.1 
Sara_Gilbert/AsPfaE14ryY_0000015 181.7 188.6 
Sara_Gilbert/AsPfaE14ryY_0000016 202.8 206.8 
Sara_Gilbert/AsPfaE14ryY_0000017 208.9 223.3 
Sara_Gilbert/AsPfaE14ryY_0000018 239.0 247.6 
Sara_Gilbert/AsPfaE14ryY_0000019 263.2 267.5 
Sara_Gilbert/AsPfaE14ryY_0000020 299.8 308.0 
Sara_Gilbert/AsPfaE14ryY_0000021 316.2 324.6 
Sara_Gilbert/AsPfaE14ryY_0000022 327.2 332.6 
Sara_Gilbert/AsPfaE14ryY_0000023 332.8 338.4 
Sara_Gilbert/AsPfaE14ryY_0000024 339.0 353.8 
Sara_Gilbert/AsPfaE14ryY_0000025 359.0 364.5 
Sara_Gilbert/AsPfaE14ryY_0000026 379.6 383.9 
Sara_Gilbert/AsPfaE14ryY_0000027 387.8 397.2 
Sara_Gilbert/AsPfaE14ryY_0000028 420.0 425.1 
Sara_Gilbert/AsPfaE14ryY_0000029 425.7 434.1 
Sara_Gilbert/AsPfaE14ryY_0000030 419.0 425.1 
Sara_Gilbert/AsPfaE14ryY_0000031 425.7 431.1 
Sara_Gilbert/AsPfaE14ryY_0000032 434.8 438.9 
Sara_Gilbert/AsPfaE14ryY_0000033 439.6 447.2 
Sara_Gilbert/AsPfaE14ryY_0000034 458.2 467.5 
Sara_Gilbert/AsPfaE14ryY_0000035 471.8 478.4 
Sara_Gilbert/AsPfaE14ryY_0000036 489.4 493.5 
Sara_Gilbert/AsPfaE14ryY_0000037 495.4 500.1 
Sara_Gilbert/AsPfaE14ryY_0000038 501.7 506.7 
Sara_Gilbert/AsPfaE14ryY_0000039 509.8 517.7 
Sara_Gilbert/AsPfaE14ryY_0000040 529.5 534.2 
Sara_Gilbert/AsPfaE14ryY_0000041 543.9 550.3 
Sara_Gilbert/AsPfaE14ryY_0000042 555.4 561.7 
Sara_Gilbert/AsPfaE14ryY_0000043 569.6 582.9 
Sara_Gilbert/AsPfaE14ryY_0000044 585.0 597.1 
Sara_Gilbert/AsPfaE14ryY_0000045 690.0 694.8 
Sara_Gilbert/AsPfaE14ryY_0000046 728.7 736.4 
Sara_Gilbert/AsPfaE14ryY_0000047 736.8 742.5 
Sara_Gilbert/AsPfaE14ryY_0000048 769.6 781.4 
Sara_Gilbert/AsPfaE14ryY_0000049 781.6 785.9 
Sara_Gilbert/AsPfaE14ryY_0000050 790.9 797.8 
Sara_Gilbert/AsPfaE14ryY_0000051 826.4 832.2 
Sara_Gilbert/AsPfaE14ryY_0000052 833.1 837.4 
Sara_Gilbert/AsPfaE14ryY_0000053 844.7 853.2 
Sara_Gilbert/AsPfaE14ryY_0000054 854.0 862.2 
Sara_Gilbert/AsPfaE14ryY_0000055 884.9 891.9 
Sara_Gilbert/AsPfaE14ryY_0000056 900.0 904.0 
Sara_Gilbert/AsPfaE14ryY_0000057 905.5 916.7 
