POI: 			Sebastian_De_Souza 
Youtube ID: 	ZNZddVsZrJk 
Video length: 	256.6 sec 
Set (V): 		dev 
 
Sebastian_De_Souza/ZNZddVsZrJk_0000001 04.4 14.0 
Sebastian_De_Souza/ZNZddVsZrJk_0000002 34.5 39.7 
Sebastian_De_Souza/ZNZddVsZrJk_0000003 14.1 18.2 
Sebastian_De_Souza/ZNZddVsZrJk_0000004 24.0 30.9 
Sebastian_De_Souza/ZNZddVsZrJk_0000005 43.8 50.4 
Sebastian_De_Souza/ZNZddVsZrJk_0000006 63.7 70.5 
Sebastian_De_Souza/ZNZddVsZrJk_0000007 71.1 75.1 
Sebastian_De_Souza/ZNZddVsZrJk_0000008 78.1 84.6 
Sebastian_De_Souza/ZNZddVsZrJk_0000009 84.9 94.4 
Sebastian_De_Souza/ZNZddVsZrJk_0000010 96.0 102.0 
Sebastian_De_Souza/ZNZddVsZrJk_0000011 112.0 122.4 
Sebastian_De_Souza/ZNZddVsZrJk_0000012 125.5 129.6 
Sebastian_De_Souza/ZNZddVsZrJk_0000013 143.2 161.4 
Sebastian_De_Souza/ZNZddVsZrJk_0000014 175.0 183.7 
Sebastian_De_Souza/ZNZddVsZrJk_0000015 184.8 190.8 
Sebastian_De_Souza/ZNZddVsZrJk_0000016 191.6 200.3 
Sebastian_De_Souza/ZNZddVsZrJk_0000017 202.8 210.4 
Sebastian_De_Souza/ZNZddVsZrJk_0000018 213.3 221.2 
Sebastian_De_Souza/ZNZddVsZrJk_0000019 221.9 228.2 
Sebastian_De_Souza/ZNZddVsZrJk_0000020 230.8 238.2 
Sebastian_De_Souza/ZNZddVsZrJk_0000021 247.3 254.2 
