POI: 			Shonda_Rhimes 
Youtube ID: 	k8pBR3o0bSg 
Video length: 	2452.7 sec 
Set (V): 		dev 
 
Shonda_Rhimes/k8pBR3o0bSg_0000001 141.7 162.8 
Shonda_Rhimes/k8pBR3o0bSg_0000002 163.3 180.8 
Shonda_Rhimes/k8pBR3o0bSg_0000003 181.1 185.1 
Shonda_Rhimes/k8pBR3o0bSg_0000004 194.4 198.4 
Shonda_Rhimes/k8pBR3o0bSg_0000005 223.6 228.7 
Shonda_Rhimes/k8pBR3o0bSg_0000006 229.6 236.8 
Shonda_Rhimes/k8pBR3o0bSg_0000007 237.8 245.5 
Shonda_Rhimes/k8pBR3o0bSg_0000008 250.6 255.4 
Shonda_Rhimes/k8pBR3o0bSg_0000009 335.6 356.4 
Shonda_Rhimes/k8pBR3o0bSg_0000010 356.7 382.3 
Shonda_Rhimes/k8pBR3o0bSg_0000011 382.6 398.3 
Shonda_Rhimes/k8pBR3o0bSg_0000012 398.4 406.5 
Shonda_Rhimes/k8pBR3o0bSg_0000013 409.0 416.1 
Shonda_Rhimes/k8pBR3o0bSg_0000014 420.0 438.1 
Shonda_Rhimes/k8pBR3o0bSg_0000015 437.7 453.5 
Shonda_Rhimes/k8pBR3o0bSg_0000016 531.6 546.4 
Shonda_Rhimes/k8pBR3o0bSg_0000017 546.7 559.5 
Shonda_Rhimes/k8pBR3o0bSg_0000018 560.4 569.7 
Shonda_Rhimes/k8pBR3o0bSg_0000019 573.4 579.2 
Shonda_Rhimes/k8pBR3o0bSg_0000020 655.6 660.3 
Shonda_Rhimes/k8pBR3o0bSg_0000021 664.9 674.2 
Shonda_Rhimes/k8pBR3o0bSg_0000022 680.8 698.3 
Shonda_Rhimes/k8pBR3o0bSg_0000023 701.6 715.3 
Shonda_Rhimes/k8pBR3o0bSg_0000024 691.5 705.3 
Shonda_Rhimes/k8pBR3o0bSg_0000025 812.6 839.3 
Shonda_Rhimes/k8pBR3o0bSg_0000026 849.4 855.6 
Shonda_Rhimes/k8pBR3o0bSg_0000027 858.4 874.8 
Shonda_Rhimes/k8pBR3o0bSg_0000028 878.9 891.8 
Shonda_Rhimes/k8pBR3o0bSg_0000029 892.6 901.0 
Shonda_Rhimes/k8pBR3o0bSg_0000030 901.8 923.5 
Shonda_Rhimes/k8pBR3o0bSg_0000031 1043.9 1057.5 
Shonda_Rhimes/k8pBR3o0bSg_0000032 1058.4 1076.8 
Shonda_Rhimes/k8pBR3o0bSg_0000033 1178.1 1188.3 
Shonda_Rhimes/k8pBR3o0bSg_0000034 1223.0 1258.0 
Shonda_Rhimes/k8pBR3o0bSg_0000035 1258.1 1269.1 
Shonda_Rhimes/k8pBR3o0bSg_0000036 1270.6 1276.9 
Shonda_Rhimes/k8pBR3o0bSg_0000037 1278.7 1294.3 
Shonda_Rhimes/k8pBR3o0bSg_0000038 1296.1 1306.9 
Shonda_Rhimes/k8pBR3o0bSg_0000039 1343.6 1356.9 
Shonda_Rhimes/k8pBR3o0bSg_0000040 1415.7 1445.6 
Shonda_Rhimes/k8pBR3o0bSg_0000041 1446.3 1454.8 
Shonda_Rhimes/k8pBR3o0bSg_0000042 1456.0 1463.4 
Shonda_Rhimes/k8pBR3o0bSg_0000043 1466.9 1475.7 
Shonda_Rhimes/k8pBR3o0bSg_0000044 1574.9 1579.9 
Shonda_Rhimes/k8pBR3o0bSg_0000045 1580.1 1586.5 
Shonda_Rhimes/k8pBR3o0bSg_0000046 1587.3 1614.5 
Shonda_Rhimes/k8pBR3o0bSg_0000047 1636.9 1646.1 
Shonda_Rhimes/k8pBR3o0bSg_0000048 1647.3 1653.4 
Shonda_Rhimes/k8pBR3o0bSg_0000049 1659.0 1664.0 
Shonda_Rhimes/k8pBR3o0bSg_0000050 1737.4 1753.2 
Shonda_Rhimes/k8pBR3o0bSg_0000051 1759.2 1768.4 
Shonda_Rhimes/k8pBR3o0bSg_0000052 1775.8 1786.3 
Shonda_Rhimes/k8pBR3o0bSg_0000053 1787.7 1810.4 
Shonda_Rhimes/k8pBR3o0bSg_0000054 1811.8 1827.2 
Shonda_Rhimes/k8pBR3o0bSg_0000055 1890.0 1902.7 
Shonda_Rhimes/k8pBR3o0bSg_0000056 1914.5 1928.1 
Shonda_Rhimes/k8pBR3o0bSg_0000057 1930.0 1956.9 
Shonda_Rhimes/k8pBR3o0bSg_0000058 1959.1 1967.7 
Shonda_Rhimes/k8pBR3o0bSg_0000059 1968.5 1992.9 
Shonda_Rhimes/k8pBR3o0bSg_0000060 2001.8 2007.0 
Shonda_Rhimes/k8pBR3o0bSg_0000061 2001.3 2014.2 
Shonda_Rhimes/k8pBR3o0bSg_0000062 2018.6 2023.1 
Shonda_Rhimes/k8pBR3o0bSg_0000063 2036.8 2042.2 
Shonda_Rhimes/k8pBR3o0bSg_0000064 2125.4 2144.4 
Shonda_Rhimes/k8pBR3o0bSg_0000065 2149.5 2176.8 
Shonda_Rhimes/k8pBR3o0bSg_0000066 2177.0 2193.8 
Shonda_Rhimes/k8pBR3o0bSg_0000067 2187.4 2196.0 
