POI: 			Sonam_Kapoor 
Youtube ID: 	Yp4Tnl9Ob9Y 
Video length: 	1144.1 sec 
Set (V): 		dev 
 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000001 78.6 83.7 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000002 87.6 95.8 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000003 115.6 122.6 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000004 154.9 160.0 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000005 164.3 171.7 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000006 199.2 203.2 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000007 203.4 208.5 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000008 238.2 247.6 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000009 254.6 261.2 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000010 272.2 279.4 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000011 305.0 310.0 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000012 335.0 344.1 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000013 348.8 353.5 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000014 382.6 387.2 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000015 405.2 410.5 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000016 458.9 464.3 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000017 517.0 522.7 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000018 536.2 547.6 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000019 554.7 563.4 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000020 579.0 587.0 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000021 596.8 607.7 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000022 634.9 639.0 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000023 711.6 721.0 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000024 721.4 725.8 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000025 733.6 738.4 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000026 773.6 779.2 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000027 787.8 793.1 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000028 814.6 820.1 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000029 829.5 836.5 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000030 838.4 846.3 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000031 873.9 883.5 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000032 901.8 907.9 
Sonam_Kapoor/Yp4Tnl9Ob9Y_0000033 1067.3 1071.5 
