POI: 			Stefanie_Powers 
Youtube ID: 	gLQaUmMJEvQ 
Video length: 	1618.2 sec 
Set (V): 		dev 
 
Stefanie_Powers/gLQaUmMJEvQ_0000001 49.9 55.5 
Stefanie_Powers/gLQaUmMJEvQ_0000002 99.7 112.6 
Stefanie_Powers/gLQaUmMJEvQ_0000003 136.1 143.8 
Stefanie_Powers/gLQaUmMJEvQ_0000004 152.2 159.8 
Stefanie_Powers/gLQaUmMJEvQ_0000005 283.5 288.5 
Stefanie_Powers/gLQaUmMJEvQ_0000006 292.2 298.9 
Stefanie_Powers/gLQaUmMJEvQ_0000007 389.0 398.6 
Stefanie_Powers/gLQaUmMJEvQ_0000008 401.8 409.4 
Stefanie_Powers/gLQaUmMJEvQ_0000009 414.5 441.5 
Stefanie_Powers/gLQaUmMJEvQ_0000010 441.7 446.3 
Stefanie_Powers/gLQaUmMJEvQ_0000011 457.2 462.1 
Stefanie_Powers/gLQaUmMJEvQ_0000012 462.6 473.4 
Stefanie_Powers/gLQaUmMJEvQ_0000013 474.2 480.5 
Stefanie_Powers/gLQaUmMJEvQ_0000014 498.7 510.8 
Stefanie_Powers/gLQaUmMJEvQ_0000015 511.4 521.6 
Stefanie_Powers/gLQaUmMJEvQ_0000016 521.8 527.6 
Stefanie_Powers/gLQaUmMJEvQ_0000017 562.3 569.2 
Stefanie_Powers/gLQaUmMJEvQ_0000018 569.9 590.4 
Stefanie_Powers/gLQaUmMJEvQ_0000019 637.1 642.3 
Stefanie_Powers/gLQaUmMJEvQ_0000020 658.5 663.1 
Stefanie_Powers/gLQaUmMJEvQ_0000021 763.8 768.0 
Stefanie_Powers/gLQaUmMJEvQ_0000022 768.3 773.2 
Stefanie_Powers/gLQaUmMJEvQ_0000023 773.6 780.1 
Stefanie_Powers/gLQaUmMJEvQ_0000024 784.8 794.9 
Stefanie_Powers/gLQaUmMJEvQ_0000025 963.9 970.2 
Stefanie_Powers/gLQaUmMJEvQ_0000026 972.8 979.3 
Stefanie_Powers/gLQaUmMJEvQ_0000027 982.2 987.3 
Stefanie_Powers/gLQaUmMJEvQ_0000028 988.4 998.6 
Stefanie_Powers/gLQaUmMJEvQ_0000029 1116.6 1121.7 
Stefanie_Powers/gLQaUmMJEvQ_0000030 1125.9 1135.1 
Stefanie_Powers/gLQaUmMJEvQ_0000031 1179.3 1188.2 
Stefanie_Powers/gLQaUmMJEvQ_0000032 1189.0 1195.0 
Stefanie_Powers/gLQaUmMJEvQ_0000033 1195.6 1205.5 
Stefanie_Powers/gLQaUmMJEvQ_0000034 1224.7 1233.2 
Stefanie_Powers/gLQaUmMJEvQ_0000035 1234.2 1269.1 
Stefanie_Powers/gLQaUmMJEvQ_0000036 1333.9 1341.5 
Stefanie_Powers/gLQaUmMJEvQ_0000037 1405.4 1420.3 
Stefanie_Powers/gLQaUmMJEvQ_0000038 1488.6 1493.0 
Stefanie_Powers/gLQaUmMJEvQ_0000039 1502.0 1506.0 
Stefanie_Powers/gLQaUmMJEvQ_0000040 1513.1 1520.8 
