POI: 			Stephen_Fry 
Youtube ID: 	6pscjBGTr_o 
Video length: 	1902.0 sec 
Set (V): 		dev 
 
Stephen_Fry/6pscjBGTr_o_0000001 88.6 93.4 
Stephen_Fry/6pscjBGTr_o_0000002 111.6 119.4 
Stephen_Fry/6pscjBGTr_o_0000003 132.8 140.0 
Stephen_Fry/6pscjBGTr_o_0000004 158.1 162.7 
Stephen_Fry/6pscjBGTr_o_0000005 170.6 175.6 
Stephen_Fry/6pscjBGTr_o_0000006 190.8 198.2 
Stephen_Fry/6pscjBGTr_o_0000007 199.3 212.5 
Stephen_Fry/6pscjBGTr_o_0000008 221.4 226.0 
Stephen_Fry/6pscjBGTr_o_0000009 226.5 239.6 
Stephen_Fry/6pscjBGTr_o_0000010 262.0 266.2 
Stephen_Fry/6pscjBGTr_o_0000011 273.9 278.0 
Stephen_Fry/6pscjBGTr_o_0000012 279.4 293.4 
Stephen_Fry/6pscjBGTr_o_0000013 298.3 307.2 
Stephen_Fry/6pscjBGTr_o_0000014 312.7 320.4 
Stephen_Fry/6pscjBGTr_o_0000015 353.2 360.1 
Stephen_Fry/6pscjBGTr_o_0000016 363.9 369.0 
Stephen_Fry/6pscjBGTr_o_0000017 369.2 374.5 
Stephen_Fry/6pscjBGTr_o_0000018 433.7 439.6 
Stephen_Fry/6pscjBGTr_o_0000019 453.2 457.1 
Stephen_Fry/6pscjBGTr_o_0000020 476.8 483.1 
Stephen_Fry/6pscjBGTr_o_0000021 487.4 491.6 
Stephen_Fry/6pscjBGTr_o_0000022 492.4 498.4 
Stephen_Fry/6pscjBGTr_o_0000023 523.0 534.2 
Stephen_Fry/6pscjBGTr_o_0000024 540.6 545.7 
Stephen_Fry/6pscjBGTr_o_0000025 552.4 558.1 
Stephen_Fry/6pscjBGTr_o_0000026 562.2 573.2 
Stephen_Fry/6pscjBGTr_o_0000027 575.2 579.5 
Stephen_Fry/6pscjBGTr_o_0000028 587.5 593.3 
Stephen_Fry/6pscjBGTr_o_0000029 688.6 693.0 
Stephen_Fry/6pscjBGTr_o_0000030 699.5 707.0 
Stephen_Fry/6pscjBGTr_o_0000031 764.6 770.3 
