POI: 			Stephen_Fry 
Youtube ID: 	CqibqD4fJZs 
Video length: 	866.9 sec 
Set (V): 		dev 
 
Stephen_Fry/CqibqD4fJZs_0000001 10.9 15.8 
Stephen_Fry/CqibqD4fJZs_0000002 26.4 49.7 
Stephen_Fry/CqibqD4fJZs_0000003 51.4 57.2 
Stephen_Fry/CqibqD4fJZs_0000004 63.3 83.7 
Stephen_Fry/CqibqD4fJZs_0000005 85.8 92.8 
Stephen_Fry/CqibqD4fJZs_0000006 93.8 99.8 
Stephen_Fry/CqibqD4fJZs_0000007 100.0 106.4 
Stephen_Fry/CqibqD4fJZs_0000008 121.9 127.1 
Stephen_Fry/CqibqD4fJZs_0000009 136.4 151.0 
Stephen_Fry/CqibqD4fJZs_0000010 153.0 161.8 
Stephen_Fry/CqibqD4fJZs_0000011 162.8 168.5 
Stephen_Fry/CqibqD4fJZs_0000012 169.4 175.6 
Stephen_Fry/CqibqD4fJZs_0000013 176.1 182.1 
Stephen_Fry/CqibqD4fJZs_0000014 185.7 196.7 
Stephen_Fry/CqibqD4fJZs_0000015 197.0 210.7 
Stephen_Fry/CqibqD4fJZs_0000016 232.5 236.8 
Stephen_Fry/CqibqD4fJZs_0000017 252.4 259.9 
Stephen_Fry/CqibqD4fJZs_0000018 263.8 279.9 
Stephen_Fry/CqibqD4fJZs_0000019 307.6 319.3 
Stephen_Fry/CqibqD4fJZs_0000020 319.4 331.8 
Stephen_Fry/CqibqD4fJZs_0000021 333.7 342.3 
Stephen_Fry/CqibqD4fJZs_0000022 343.2 349.1 
Stephen_Fry/CqibqD4fJZs_0000023 353.9 366.1 
Stephen_Fry/CqibqD4fJZs_0000024 368.0 381.5 
Stephen_Fry/CqibqD4fJZs_0000025 386.7 391.8 
Stephen_Fry/CqibqD4fJZs_0000026 393.0 399.6 
Stephen_Fry/CqibqD4fJZs_0000027 401.6 414.5 
Stephen_Fry/CqibqD4fJZs_0000028 422.0 431.8 
Stephen_Fry/CqibqD4fJZs_0000029 431.9 471.2 
Stephen_Fry/CqibqD4fJZs_0000030 473.1 485.8 
Stephen_Fry/CqibqD4fJZs_0000031 491.2 495.3 
Stephen_Fry/CqibqD4fJZs_0000032 499.0 505.2 
Stephen_Fry/CqibqD4fJZs_0000033 505.4 518.8 
Stephen_Fry/CqibqD4fJZs_0000034 520.5 524.5 
Stephen_Fry/CqibqD4fJZs_0000035 530.4 541.2 
Stephen_Fry/CqibqD4fJZs_0000036 541.6 547.7 
Stephen_Fry/CqibqD4fJZs_0000037 553.2 566.8 
Stephen_Fry/CqibqD4fJZs_0000038 574.8 584.8 
Stephen_Fry/CqibqD4fJZs_0000039 590.7 599.8 
Stephen_Fry/CqibqD4fJZs_0000040 600.7 607.0 
Stephen_Fry/CqibqD4fJZs_0000041 609.9 618.5 
Stephen_Fry/CqibqD4fJZs_0000042 623.8 640.8 
Stephen_Fry/CqibqD4fJZs_0000043 658.6 682.5 
Stephen_Fry/CqibqD4fJZs_0000044 690.8 707.3 
Stephen_Fry/CqibqD4fJZs_0000045 709.3 717.8 
Stephen_Fry/CqibqD4fJZs_0000046 723.2 736.0 
Stephen_Fry/CqibqD4fJZs_0000047 758.2 774.3 
Stephen_Fry/CqibqD4fJZs_0000048 791.8 812.0 
Stephen_Fry/CqibqD4fJZs_0000049 814.0 818.6 
Stephen_Fry/CqibqD4fJZs_0000050 822.0 828.2 
Stephen_Fry/CqibqD4fJZs_0000051 829.0 832.9 
Stephen_Fry/CqibqD4fJZs_0000052 841.6 845.6 
