POI: 			Suraj_Sharma 
Youtube ID: 	RNKUA8EGl20 
Video length: 	510.1 sec 
Set (V): 		dev 
 
Suraj_Sharma/RNKUA8EGl20_0000001 123.9 128.1 
Suraj_Sharma/RNKUA8EGl20_0000002 129.0 135.9 
Suraj_Sharma/RNKUA8EGl20_0000003 136.8 150.7 
Suraj_Sharma/RNKUA8EGl20_0000004 170.1 176.3 
Suraj_Sharma/RNKUA8EGl20_0000005 176.6 187.4 
Suraj_Sharma/RNKUA8EGl20_0000006 223.6 243.3 
Suraj_Sharma/RNKUA8EGl20_0000007 243.9 253.3 
Suraj_Sharma/RNKUA8EGl20_0000008 271.0 284.1 
Suraj_Sharma/RNKUA8EGl20_0000009 360.9 380.0 
Suraj_Sharma/RNKUA8EGl20_0000010 381.1 390.4 
Suraj_Sharma/RNKUA8EGl20_0000011 403.3 411.8 
Suraj_Sharma/RNKUA8EGl20_0000012 413.0 421.0 
Suraj_Sharma/RNKUA8EGl20_0000013 423.5 430.6 
Suraj_Sharma/RNKUA8EGl20_0000014 439.3 455.5 
Suraj_Sharma/RNKUA8EGl20_0000015 461.0 467.0 
Suraj_Sharma/RNKUA8EGl20_0000016 480.8 496.5 
