POI: 			Tamara_Taylor 
Youtube ID: 	qfdV3oIQVyU 
Video length: 	362.8 sec 
Set (V): 		dev 
 
Tamara_Taylor/qfdV3oIQVyU_0000001 28.4 35.7 
Tamara_Taylor/qfdV3oIQVyU_0000002 46.3 66.5 
Tamara_Taylor/qfdV3oIQVyU_0000003 71.3 78.2 
Tamara_Taylor/qfdV3oIQVyU_0000004 81.1 103.3 
Tamara_Taylor/qfdV3oIQVyU_0000005 109.2 115.2 
Tamara_Taylor/qfdV3oIQVyU_0000006 131.7 146.9 
Tamara_Taylor/qfdV3oIQVyU_0000007 155.4 159.8 
Tamara_Taylor/qfdV3oIQVyU_0000008 178.8 188.9 
Tamara_Taylor/qfdV3oIQVyU_0000009 191.4 196.9 
Tamara_Taylor/qfdV3oIQVyU_0000010 199.6 206.3 
Tamara_Taylor/qfdV3oIQVyU_0000011 238.7 245.3 
Tamara_Taylor/qfdV3oIQVyU_0000012 258.0 266.5 
Tamara_Taylor/qfdV3oIQVyU_0000013 267.9 277.9 
Tamara_Taylor/qfdV3oIQVyU_0000014 278.8 287.6 
Tamara_Taylor/qfdV3oIQVyU_0000015 309.9 322.6 
Tamara_Taylor/qfdV3oIQVyU_0000016 329.6 336.0 
Tamara_Taylor/qfdV3oIQVyU_0000017 340.2 345.9 
Tamara_Taylor/qfdV3oIQVyU_0000018 346.6 353.4 
