POI: 			Taylor_Swift 
Youtube ID: 	UHd9x0J8N7Q 
Video length: 	645.4 sec 
Set (V): 		dev 
 
Taylor_Swift/UHd9x0J8N7Q_0000001 24.4 31.6 
Taylor_Swift/UHd9x0J8N7Q_0000002 35.2 43.4 
Taylor_Swift/UHd9x0J8N7Q_0000003 44.0 50.8 
Taylor_Swift/UHd9x0J8N7Q_0000004 56.2 64.0 
Taylor_Swift/UHd9x0J8N7Q_0000005 79.8 94.2 
Taylor_Swift/UHd9x0J8N7Q_0000006 112.8 126.6 
Taylor_Swift/UHd9x0J8N7Q_0000007 130.9 138.7 
Taylor_Swift/UHd9x0J8N7Q_0000008 212.2 226.9 
Taylor_Swift/UHd9x0J8N7Q_0000009 241.9 251.4 
Taylor_Swift/UHd9x0J8N7Q_0000010 264.2 281.6 
Taylor_Swift/UHd9x0J8N7Q_0000011 345.6 361.6 
Taylor_Swift/UHd9x0J8N7Q_0000012 387.8 399.6 
Taylor_Swift/UHd9x0J8N7Q_0000013 445.4 460.6 
Taylor_Swift/UHd9x0J8N7Q_0000014 492.2 499.3 
Taylor_Swift/UHd9x0J8N7Q_0000015 562.6 571.3 
Taylor_Swift/UHd9x0J8N7Q_0000016 564.6 584.4 
Taylor_Swift/UHd9x0J8N7Q_0000017 598.5 604.0 
Taylor_Swift/UHd9x0J8N7Q_0000018 605.8 610.3 
Taylor_Swift/UHd9x0J8N7Q_0000019 614.5 618.8 
Taylor_Swift/UHd9x0J8N7Q_0000020 623.4 636.6 
