POI: 			Terence_Stamp 
Youtube ID: 	G0WrcgWfJn4 
Video length: 	1217.3 sec 
Set (V): 		dev 
 
Terence_Stamp/G0WrcgWfJn4_0000001 37.1 44.0 
Terence_Stamp/G0WrcgWfJn4_0000002 45.1 51.2 
Terence_Stamp/G0WrcgWfJn4_0000003 111.1 118.4 
Terence_Stamp/G0WrcgWfJn4_0000004 171.4 180.6 
Terence_Stamp/G0WrcgWfJn4_0000005 215.2 222.8 
Terence_Stamp/G0WrcgWfJn4_0000006 225.6 231.7 
Terence_Stamp/G0WrcgWfJn4_0000007 263.2 268.4 
Terence_Stamp/G0WrcgWfJn4_0000008 274.6 278.7 
Terence_Stamp/G0WrcgWfJn4_0000009 297.2 301.6 
Terence_Stamp/G0WrcgWfJn4_0000010 303.7 309.8 
Terence_Stamp/G0WrcgWfJn4_0000011 321.0 346.6 
Terence_Stamp/G0WrcgWfJn4_0000012 354.8 359.7 
Terence_Stamp/G0WrcgWfJn4_0000013 362.3 370.3 
Terence_Stamp/G0WrcgWfJn4_0000014 378.6 387.8 
Terence_Stamp/G0WrcgWfJn4_0000015 405.0 412.2 
Terence_Stamp/G0WrcgWfJn4_0000016 414.8 421.8 
Terence_Stamp/G0WrcgWfJn4_0000017 434.7 447.2 
Terence_Stamp/G0WrcgWfJn4_0000018 538.6 542.6 
Terence_Stamp/G0WrcgWfJn4_0000019 1005.6 1012.1 
Terence_Stamp/G0WrcgWfJn4_0000020 1012.7 1019.3 
Terence_Stamp/G0WrcgWfJn4_0000021 1021.3 1026.6 
Terence_Stamp/G0WrcgWfJn4_0000022 1027.2 1039.6 
Terence_Stamp/G0WrcgWfJn4_0000023 1090.8 1102.9 
Terence_Stamp/G0WrcgWfJn4_0000024 1104.2 1109.8 
Terence_Stamp/G0WrcgWfJn4_0000025 1117.1 1122.0 
Terence_Stamp/G0WrcgWfJn4_0000026 1128.6 1132.9 
Terence_Stamp/G0WrcgWfJn4_0000027 1133.9 1140.4 
Terence_Stamp/G0WrcgWfJn4_0000028 1168.0 1176.9 
Terence_Stamp/G0WrcgWfJn4_0000029 1180.4 1184.6 
