POI: 			Tom_Ford 
Youtube ID: 	dAH4YKqqrvc 
Video length: 	1973.2 sec 
Set (V): 		dev 
 
Tom_Ford/dAH4YKqqrvc_0000001 80.7 96.5 
Tom_Ford/dAH4YKqqrvc_0000002 97.1 110.7 
Tom_Ford/dAH4YKqqrvc_0000003 112.4 118.9 
Tom_Ford/dAH4YKqqrvc_0000004 119.2 123.3 
Tom_Ford/dAH4YKqqrvc_0000005 124.2 146.2 
Tom_Ford/dAH4YKqqrvc_0000006 160.8 182.2 
Tom_Ford/dAH4YKqqrvc_0000007 184.6 189.4 
Tom_Ford/dAH4YKqqrvc_0000008 202.7 220.4 
Tom_Ford/dAH4YKqqrvc_0000009 221.1 237.2 
Tom_Ford/dAH4YKqqrvc_0000010 261.5 268.8 
Tom_Ford/dAH4YKqqrvc_0000011 312.6 318.3 
Tom_Ford/dAH4YKqqrvc_0000012 319.1 327.3 
Tom_Ford/dAH4YKqqrvc_0000013 327.4 334.1 
Tom_Ford/dAH4YKqqrvc_0000014 336.9 384.3 
Tom_Ford/dAH4YKqqrvc_0000015 384.6 388.8 
Tom_Ford/dAH4YKqqrvc_0000016 389.6 401.0 
Tom_Ford/dAH4YKqqrvc_0000017 411.4 428.8 
Tom_Ford/dAH4YKqqrvc_0000018 429.2 436.0 
Tom_Ford/dAH4YKqqrvc_0000019 487.2 500.7 
Tom_Ford/dAH4YKqqrvc_0000020 505.2 509.6 
Tom_Ford/dAH4YKqqrvc_0000021 511.4 527.4 
Tom_Ford/dAH4YKqqrvc_0000022 531.5 546.3 
Tom_Ford/dAH4YKqqrvc_0000023 551.2 557.6 
Tom_Ford/dAH4YKqqrvc_0000024 559.2 567.0 
Tom_Ford/dAH4YKqqrvc_0000025 567.4 576.7 
Tom_Ford/dAH4YKqqrvc_0000026 599.5 607.1 
Tom_Ford/dAH4YKqqrvc_0000027 608.0 615.8 
Tom_Ford/dAH4YKqqrvc_0000028 661.2 668.4 
Tom_Ford/dAH4YKqqrvc_0000029 682.2 689.4 
Tom_Ford/dAH4YKqqrvc_0000030 690.1 697.8 
Tom_Ford/dAH4YKqqrvc_0000031 724.6 739.4 
Tom_Ford/dAH4YKqqrvc_0000032 742.9 747.8 
Tom_Ford/dAH4YKqqrvc_0000033 759.8 765.1 
Tom_Ford/dAH4YKqqrvc_0000034 767.2 774.2 
Tom_Ford/dAH4YKqqrvc_0000035 794.0 798.0 
Tom_Ford/dAH4YKqqrvc_0000036 798.2 802.8 
Tom_Ford/dAH4YKqqrvc_0000037 803.2 817.6 
Tom_Ford/dAH4YKqqrvc_0000038 817.7 838.7 
Tom_Ford/dAH4YKqqrvc_0000039 847.3 857.9 
Tom_Ford/dAH4YKqqrvc_0000040 939.8 955.0 
Tom_Ford/dAH4YKqqrvc_0000041 959.4 964.2 
Tom_Ford/dAH4YKqqrvc_0000042 964.8 968.9 
Tom_Ford/dAH4YKqqrvc_0000043 974.8 983.7 
Tom_Ford/dAH4YKqqrvc_0000044 984.0 988.3 
Tom_Ford/dAH4YKqqrvc_0000045 996.4 1005.2 
Tom_Ford/dAH4YKqqrvc_0000046 1019.4 1024.6 
Tom_Ford/dAH4YKqqrvc_0000047 1088.6 1099.4 
Tom_Ford/dAH4YKqqrvc_0000048 1146.0 1159.0 
Tom_Ford/dAH4YKqqrvc_0000049 1159.6 1173.3 
Tom_Ford/dAH4YKqqrvc_0000050 1199.0 1215.3 
Tom_Ford/dAH4YKqqrvc_0000051 1216.0 1226.1 
Tom_Ford/dAH4YKqqrvc_0000052 1226.9 1237.0 
Tom_Ford/dAH4YKqqrvc_0000053 1237.4 1244.9 
Tom_Ford/dAH4YKqqrvc_0000054 1282.8 1294.8 
Tom_Ford/dAH4YKqqrvc_0000055 1314.0 1322.6 
Tom_Ford/dAH4YKqqrvc_0000056 1343.5 1349.8 
Tom_Ford/dAH4YKqqrvc_0000057 1351.9 1360.0 
Tom_Ford/dAH4YKqqrvc_0000058 1366.7 1377.3 
Tom_Ford/dAH4YKqqrvc_0000059 1396.0 1411.4 
Tom_Ford/dAH4YKqqrvc_0000060 1472.7 1476.7 
Tom_Ford/dAH4YKqqrvc_0000061 1480.2 1500.6 
Tom_Ford/dAH4YKqqrvc_0000062 1501.6 1515.2 
Tom_Ford/dAH4YKqqrvc_0000063 1516.6 1523.6 
Tom_Ford/dAH4YKqqrvc_0000064 1538.8 1542.8 
Tom_Ford/dAH4YKqqrvc_0000065 1546.7 1577.2 
Tom_Ford/dAH4YKqqrvc_0000066 1579.8 1590.0 
Tom_Ford/dAH4YKqqrvc_0000067 1592.2 1597.8 
Tom_Ford/dAH4YKqqrvc_0000068 1600.0 1605.6 
Tom_Ford/dAH4YKqqrvc_0000069 1629.1 1653.7 
Tom_Ford/dAH4YKqqrvc_0000070 1653.8 1666.8 
Tom_Ford/dAH4YKqqrvc_0000071 1710.9 1719.6 
Tom_Ford/dAH4YKqqrvc_0000072 1731.3 1742.9 
Tom_Ford/dAH4YKqqrvc_0000073 1745.1 1760.0 
Tom_Ford/dAH4YKqqrvc_0000074 1772.8 1778.4 
Tom_Ford/dAH4YKqqrvc_0000075 1780.5 1789.1 
Tom_Ford/dAH4YKqqrvc_0000076 1790.0 1794.8 
Tom_Ford/dAH4YKqqrvc_0000077 1821.2 1829.4 
Tom_Ford/dAH4YKqqrvc_0000078 1839.9 1864.3 
Tom_Ford/dAH4YKqqrvc_0000079 1888.0 1895.3 
Tom_Ford/dAH4YKqqrvc_0000080 1896.3 1901.7 
