POI: 			Vanessa_Lachey 
Youtube ID: 	xC6jYNIKKxY 
Video length: 	511.4 sec 
Set (V): 		dev 
 
Vanessa_Lachey/xC6jYNIKKxY_0000001 79.6 85.6 
Vanessa_Lachey/xC6jYNIKKxY_0000002 87.1 98.5 
Vanessa_Lachey/xC6jYNIKKxY_0000003 100.6 154.2 
Vanessa_Lachey/xC6jYNIKKxY_0000004 154.6 159.8 
Vanessa_Lachey/xC6jYNIKKxY_0000005 161.0 169.1 
Vanessa_Lachey/xC6jYNIKKxY_0000006 172.5 179.0 
Vanessa_Lachey/xC6jYNIKKxY_0000007 184.0 194.9 
Vanessa_Lachey/xC6jYNIKKxY_0000008 205.2 209.5 
Vanessa_Lachey/xC6jYNIKKxY_0000009 223.1 229.5 
Vanessa_Lachey/xC6jYNIKKxY_0000010 237.5 243.4 
Vanessa_Lachey/xC6jYNIKKxY_0000011 245.4 254.4 
Vanessa_Lachey/xC6jYNIKKxY_0000012 258.6 263.9 
Vanessa_Lachey/xC6jYNIKKxY_0000013 264.8 273.2 
Vanessa_Lachey/xC6jYNIKKxY_0000014 274.0 287.0 
Vanessa_Lachey/xC6jYNIKKxY_0000015 287.2 299.6 
Vanessa_Lachey/xC6jYNIKKxY_0000016 303.5 314.2 
Vanessa_Lachey/xC6jYNIKKxY_0000017 324.8 328.7 
Vanessa_Lachey/xC6jYNIKKxY_0000018 333.4 341.2 
Vanessa_Lachey/xC6jYNIKKxY_0000019 348.4 352.7 
Vanessa_Lachey/xC6jYNIKKxY_0000020 354.5 358.6 
Vanessa_Lachey/xC6jYNIKKxY_0000021 358.9 368.9 
Vanessa_Lachey/xC6jYNIKKxY_0000022 369.2 376.2 
Vanessa_Lachey/xC6jYNIKKxY_0000023 377.5 381.4 
Vanessa_Lachey/xC6jYNIKKxY_0000024 382.3 387.2 
Vanessa_Lachey/xC6jYNIKKxY_0000025 436.7 443.9 
Vanessa_Lachey/xC6jYNIKKxY_0000026 445.6 470.8 
Vanessa_Lachey/xC6jYNIKKxY_0000027 471.7 478.0 
