POI: 			William_Fichtner 
Youtube ID: 	_j2RydnWAU8 
Video length: 	310.6 sec 
Set (V): 		dev 
 
William_Fichtner/_j2RydnWAU8_0000001 00.7 05.4 
William_Fichtner/_j2RydnWAU8_0000002 07.8 21.9 
William_Fichtner/_j2RydnWAU8_0000003 33.1 39.8 
William_Fichtner/_j2RydnWAU8_0000004 50.1 70.4 
William_Fichtner/_j2RydnWAU8_0000005 76.2 80.6 
William_Fichtner/_j2RydnWAU8_0000006 81.7 86.2 
William_Fichtner/_j2RydnWAU8_0000007 86.7 93.0 
William_Fichtner/_j2RydnWAU8_0000008 107.6 115.5 
William_Fichtner/_j2RydnWAU8_0000009 118.0 125.9 
William_Fichtner/_j2RydnWAU8_0000010 127.3 133.2 
William_Fichtner/_j2RydnWAU8_0000011 133.4 143.3 
William_Fichtner/_j2RydnWAU8_0000012 144.2 155.2 
William_Fichtner/_j2RydnWAU8_0000013 155.8 179.0 
William_Fichtner/_j2RydnWAU8_0000014 181.6 186.3 
William_Fichtner/_j2RydnWAU8_0000015 188.3 210.0 
William_Fichtner/_j2RydnWAU8_0000016 210.9 234.1 
William_Fichtner/_j2RydnWAU8_0000017 236.6 251.2 
William_Fichtner/_j2RydnWAU8_0000018 259.2 277.4 
William_Fichtner/_j2RydnWAU8_0000019 280.1 286.9 
William_Fichtner/_j2RydnWAU8_0000020 288.2 293.4 
William_Fichtner/_j2RydnWAU8_0000021 294.0 308.3 
