POI: 			William_Levy 
Youtube ID: 	BjVDisZdldc 
Video length: 	691.4 sec 
Set (V): 		dev 
 
William_Levy/BjVDisZdldc_0000001 64.8 70.9 
William_Levy/BjVDisZdldc_0000002 81.8 88.7 
William_Levy/BjVDisZdldc_0000003 89.9 94.6 
William_Levy/BjVDisZdldc_0000004 131.9 162.3 
William_Levy/BjVDisZdldc_0000005 163.3 172.2 
William_Levy/BjVDisZdldc_0000006 178.7 182.9 
William_Levy/BjVDisZdldc_0000007 199.3 207.4 
William_Levy/BjVDisZdldc_0000008 225.2 231.1 
William_Levy/BjVDisZdldc_0000009 231.2 251.0 
William_Levy/BjVDisZdldc_0000010 300.9 306.2 
William_Levy/BjVDisZdldc_0000011 369.2 373.9 
William_Levy/BjVDisZdldc_0000012 374.9 379.7 
William_Levy/BjVDisZdldc_0000013 380.4 385.1 
William_Levy/BjVDisZdldc_0000014 419.5 428.4 
William_Levy/BjVDisZdldc_0000015 433.7 441.8 
William_Levy/BjVDisZdldc_0000016 469.3 476.9 
William_Levy/BjVDisZdldc_0000017 477.0 482.4 
William_Levy/BjVDisZdldc_0000018 484.1 493.3 
William_Levy/BjVDisZdldc_0000019 501.2 506.1 
William_Levy/BjVDisZdldc_0000020 539.9 546.0 
William_Levy/BjVDisZdldc_0000021 561.1 572.6 
William_Levy/BjVDisZdldc_0000022 573.5 578.8 
William_Levy/BjVDisZdldc_0000023 598.8 602.9 
